도,시,군/구,행정코드,2018년_총인구수,2019년_총인구수,2020년_총인구수,2021년_총인구수,2022년_총인구수
경기도,하남시,,4145000000,254415,272455,293452,320087,326059
경기도,용인시,처인구,4146100000,249118,253896,257498,260198,259288
경기도,용인시,기흥구,4146300000,427719,436679,440835,441742,438235
경기도,용인시,수지구,4146500000,358289,369034,375843,375568,377448
경기도,파주시,,4148000000,451848,454040,465617,483245,495315
경기도,이천시,,4150000000,214206,215834,218388,223177,222721
경기도,안성시,,4155000000,183579,183405,187012,189534,188842
경기도,김포시,,4157000000,423170,437221,473970,486508,484267
경기도,화성시,,4159000000,758722,815396,855248,887015,910814
경기도,광주시,,4161000000,363782,372654,382054,387289,391462
경기도,양주시,,4163000000,216951,222314,230359,236368,243432
경기도,포천시,,4165000000,150676,148379,147274,148939,146701
경기도,여주시,,4167000000,111525,111083,111897,112150,113150
경기도,,연천군,4180000000,44633,43824,43516,42721,42062
경기도,,가평군,4182000000,62918,62415,62377,62264,62150
경기도,,양평군,4183000000,116095,116874,118810,121230,122323
강원도,춘천시,,4211000000,280640,281291,282765,284594,286664
강원도,원주시,,4213000000,344070,349215,354376,357757,360807
강원도,강릉시,,4215000000,212957,213442,213321,212965,211381
강원도,동해시,,4217000000,91272,90522,90593,90081,89426
강원도,태백시,,4219000000,44858,43866,42719,40844,39428
강원도,속초시,,4221000000,81682,81786,82665,82791,82806
강원도,삼척시,,4223000000,68326,67228,65243,63429,63455
강원도,,홍천군,4272000000,69949,69150,69242,68365,67977
강원도,,횡성군,4273000000,46726,46575,46472,46481,46532
강원도,,영월군,4275000000,39730,39127,38662,37904,37728
강원도,,평창군,4276000000,42610,42106,41681,40996,40990
강원도,,정선군,4277000000,37700,37271,36870,35675,34931
강원도,,철원군,4278000000,46413,45584,44699,43340,42256
강원도,,화천군,4279000000,25084,24917,24857,24195,23388
강원도,,양구군,4280000000,23408,22764,22278,21748,21383
강원도,,인제군,4281000000,32136,31672,31694,32165,32206
