시도,시군구,행정번호,년도,평균연령,스트레스인지율
강원도,강원춘천시,4211000000,2018,42.8,26.5
강원도,강원원주시,4213000000,2018,41.6,30.4
강원도,강원강릉시,4215000000,2018,45.1,25.7
강원도,강원동해시,4217000000,2018,44.1,22.4
강원도,강원태백시,4219000000,2018,46.6,26.5
강원도,강원속초시,4221000000,2018,44.3,19.3
강원도,강원삼척시,4223000000,2018,46.7,28.7
강원도,강원홍천군,4272000000,2018,48.2,29
강원도,강원횡성군,4273000000,2018,50.1,28.1
강원도,강원영월군,4275000000,2018,50.1,27.5
강원도,강원평창군,4276000000,2018,49.7,26.2
강원도,강원정선군,4277000000,2018,49.6,25.3
강원도,강원철원군,4278000000,2018,44.7,23.4
강원도,강원화천군,4279000000,2018,44.5,27.1
강원도,강원양구군,4280000000,2018,43.3,29.4
강원도,강원인제군,4281000000,2018,44.4,28.2
강원도,강원고성군,4282000000,2018,49.4,31.3
강원도,강원양양군,4283000000,2018,50.4,23.8
충청북도,충북청주상당구,4311100000,2018,41.9,28.5
충청북도,충북청주서원구,4311200000,2018,40.8,28.5
충청북도,충북청주흥덕구,4311300000,2018,39,28.5
충청북도,충북청주청원구,4311400000,2018,38.7,28.5
충청북도,충북충주시,4313000000,2018,44.4,28.9
충청북도,충북제천시,4315000000,2018,45.3,24.5
충청북도,충북보은군,4372000000,2018,52.2,24.7
충청북도,충북옥천군,4373000000,2018,49.7,19.7
충청북도,충북영동군,4374000000,2018,50.2,17.1
충청북도,충북증평군,4374500000,2018,41.9,27.1
충청북도,충북진천군,4375000000,2018,42.3,26.7
충청북도,충북괴산군,4376000000,2018,52.9,20.5
충청북도,충북음성군,4377000000,2018,45.5,25.8
충청북도,충북단양군,4380000000,2018,51,26.4
충청남도,충남천안동남구,4413100000,2018,40.9,28.6
충청남도,충남천안서북구,4413300000,2018,36.8,28.6
충청남도,충남공주시,4415000000,2018,47.6,25.6
충청남도,충남보령시,4418000000,2018,47.2,26.4
충청남도,충남아산시,4420000000,2018,39.1,25.5
충청남도,충남서산시,4421000000,2018,42.6,26.1
충청남도,충남논산시,4423000000,2018,47.5,26
충청남도,충남계룡시,4425000000,2018,38.4,24.8
충청남도,충남당진시,4427000000,2018,42.5,28.7
충청남도,충남금산군,4471000000,2018,50.1,29.9
충청남도,충남부여군,4476000000,2018,51.7,22.4
충청남도,충남서천군,4477000000,2018,52.6,22
충청남도,충남청양군,4479000000,2018,52.2,24.2
충청남도,충남홍성군,4480000000,2018,45.4,28.5
충청남도,충남예산군,4481000000,2018,50.4,28.2
충청남도,충남태안군,4482500000,2018,50.1,22.2
전라북도,전북전주완산구,4511100000,2018,41.3,32.5
전라북도,전북전주덕진구,4511300000,2018,39.9,32.5
전라북도,전북군산시,4513000000,2018,42.9,27.6
전라북도,전북익산시,4514000000,2018,43.4,29.1
전라북도,전북정읍시,4518000000,2018,47.8,24
전라북도,전북남원시,4519000000,2018,47.9,19.4
전라북도,전북김제시,4521000000,2018,50.2,33.8
전라북도,전북완주군,4571000000,2018,45,20.2
전라북도,전북진안군,4572000000,2018,52,18.9
전라북도,전북무주군,4573000000,2018,51.4,27.9
전라북도,전북장수군,4574000000,2018,50.9,13.2
전라북도,전북임실군,4575000000,2018,51.6,19.2
전라북도,전북순창군,4577000000,2018,50.8,15.4
전라북도,전북고창군,4579000000,2018,51.2,27.8
전라북도,전북부안군,4580000000,2018,50.9,26.6
전라남도,전남목포시,4611000000,2018,41.4,32.7
전라남도,전남여수시,4613000000,2018,43.4,25
전라남도,전남순천시,4615000000,2018,41.4,25.3
전라남도,전남나주시,4617000000,2018,45,24
전라남도,전남광양시,4623000000,2018,40.1,23
전라남도,전남담양군,4671000000,2018,50.5,27.6
전라남도,전남곡성군,4672000000,2018,52.5,30.7
전라남도,전남구례군,4673000000,2018,51.4,20.3
전라남도,전남고흥군,4677000000,2018,54.9,20.6
