시도,시군구,행정번호,년도,우울증환자수,코로나확진자수,1인당 정신건강예산(원),공공시설개수
경기도,경기동두천시,4125000000,2018,1610.0,0,4376.0,43.0
경기도,경기안산상록구,4127100000,2018,2899.0,0,4376.0,108.0
경기도,경기안산단원구,4127300000,2018,7393.0,0,4376.0,91.0
경기도,경기고양덕양구,4128100000,2018,3760.0,0,4376.0,123.0
경기도,경기고양일산동구,4128500000,2018,8003.0,0,4376.0,78.0
경기도,경기고양일산서구,4128700000,2018,6853.0,0,4376.0,63.0
경기도,경기과천시,4129000000,2018,67.0,0,4376.0,23.0
경기도,경기구리시,4131000000,2018,3631.0,0,4376.0,68.0
경기도,경기남양주시,4136000000,2018,5697.0,0,4376.0,181.0
경기도,경기오산시,4137000000,2018,2779.0,0,4376.0,112.0
경기도,경기시흥시,4139000000,2018,3766.0,0,4376.0,144.0
경기도,경기군포시,4141000000,2018,3542.0,0,4376.0,128.0
경기도,경기의왕시,4143000000,2018,843.0,0,4376.0,81.0
경기도,경기하남시,4145000000,2018,1495.0,0,4376.0,48.0
경기도,경기용인처인구,4146100000,2018,2290.0,0,4376.0,40.0
경기도,경기용인기흥구,4146300000,2018,4460.0,0,4376.0,152.0
경기도,경기용인수지구,4146500000,2018,3658.0,0,4376.0,95.0
경기도,경기파주시,4148000000,2018,2934.0,0,4376.0,162.0
경기도,경기이천시,4150000000,2018,4088.0,0,4376.0,38.0
경기도,경기안성시,4155000000,2018,929.0,0,4376.0,57.0
경기도,경기김포시,4157000000,2018,2392.0,0,4376.0,191.0
경기도,경기화성시,4159000000,2018,3651.0,0,4376.0,612.0
경기도,경기광주시,4161000000,2018,3419.0,0,4376.0,56.0
경기도,경기양주시,4163000000,2018,828.0,0,4376.0,101.0
경기도,경기포천시,4165000000,2018,541.0,0,4376.0,47.0
경기도,경기여주시,4167000000,2018,1783.0,0,4376.0,23.0
경기도,경기연천군,4180000000,2018,377.0,0,4376.0,18.0
경기도,경기가평군,4182000000,2018,501.0,0,4376.0,15.0
경기도,경기양평군,4183000000,2018,764.0,0,4376.0,37.0
강원도,강원춘천시,4211000000,2018,5074.0,0,7147.0,277.0
강원도,강원원주시,4213000000,2018,8382.0,0,7147.0,193.0
강원도,강원강릉시,4215000000,2018,4360.0,0,7147.0,163.0
강원도,강원동해시,4217000000,2018,1337.0,0,7147.0,11.0
강원도,강원태백시,4219000000,2018,240.0,0,7147.0,45.0
강원도,강원속초시,4221000000,2018,1459.0,0,7147.0,92.0
강원도,강원삼척시,4223000000,2018,1059.0,0,7147.0,49.0
강원도,강원홍천군,4272000000,2018,1385.0,0,7147.0,49.0
강원도,강원횡성군,4273000000,2018,101.0,0,7147.0,64.0
강원도,강원영월군,4275000000,2018,258.0,0,7147.0,42.0
강원도,강원평창군,4276000000,2018,161.0,0,7147.0,50.0
강원도,강원정선군,4277000000,2018,19.0,0,7147.0,65.0
강원도,강원철원군,4278000000,2018,17.0,0,7147.0,45.0
강원도,강원화천군,4279000000,2018,33.0,0,7147.0,32.0
강원도,강원양구군,4280000000,2018,30.0,0,7147.0,10.0
강원도,강원인제군,4281000000,2018,23.0,0,7147.0,32.0
강원도,강원고성군,4282000000,2018,0.0,0,7147.0,59.0
강원도,강원양양군,4283000000,2018,25.0,0,7147.0,18.0
충청북도,충북청주상당구,4311100000,2018,6365.0,0,6051.0,93.0
충청북도,충북청주서원구,4311200000,2018,3901.0,0,6051.0,90.0
충청북도,충북청주흥덕구,4311300000,2018,3233.0,0,6051.0,155.0
충청북도,충북청주청원구,4311400000,2018,2943.0,0,6051.0,105.0
충청북도,충북충주시,4313000000,2018,3117.0,0,6051.0,119.0
충청북도,충북제천시,4315000000,2018,3390.0,0,6051.0,68.0
충청북도,충북보은군,4372000000,2018,365.0,0,6051.0,8.0
충청북도,충북옥천군,4373000000,2018,494.0,0,6051.0,10.0
충청북도,충북영동군,4374000000,2018,759.0,0,6051.0,6.0
충청북도,충북증평군,4374500000,2018,286.0,0,6051.0,27.0
충청북도,충북진천군,4375000000,2018,1228.0,0,6051.0,37.0
충청북도,충북괴산군,4376000000,2018,386.0,0,6051.0,21.0
충청북도,충북음성군,4377000000,2018,628.0,0,6051.0,43.0
충청북도,충북단양군,4380000000,2018,22.0,0,6051.0,26.0
충청남도,충남천안동남구,4413100000,2018,6482.0,0,5909.0,152.0
충청남도,충남천안서북구,4413300000,2018,6102.0,0,5909.0,203.0
충청남도,충남공주시,4415000000,2018,2932.0,0,5909.0,62.0
충청남도,충남보령시,4418000000,2018,1210.0,0,5909.0,95.0
충청남도,충남아산시,4420000000,2018,4360.0,0,5909.0,121.0
충청남도,충남서산시,4421000000,2018,1061.0,0,5909.0,197.0
충청남도,충남논산시,4423000000,2018,4023.0,0,5909.0,116.0
충청남도,충남계룡시,4425000000,2018,0.0,0,5909.0,49.0
충청남도,충남당진시,4427000000,2018,2716.0,0,5909.0,269.0
충청남도,충남금산군,4471000000,2018,1021.0,0,5909.0,22.0
충청남도,충남부여군,4476000000,2018,968.0,0,5909.0,29.0
충청남도,충남서천군,4477000000,2018,1300.0,0,5909.0,35.0
충청남도,충남청양군,4479000000,2018,124.0,0,5909.0,29.0
충청남도,충남홍성군,4480000000,2018,2464.0,0,5909.0,149.0
충청남도,충남예산군,4481000000,2018,261.0,0,5909.0,115.0
충청남도,충남태안군,4482500000,2018,467.0,0,5909.0,22.0
전라북도,전북전주완산구,4511100000,2018,7221.0,0,7554.0,141.0
전라북도,전북전주덕진구,4511300000,2018,6666.0,0,7554.0,111.0
전라북도,전북군산시,4513000000,2018,3050.0,0,7554.0,154.0
전라북도,전북익산시,4514000000,2018,3559.0,0,7554.0,109.0
전라북도,전북정읍시,4518000000,2018,1047.0,0,7554.0,15.0
전라북도,전북남원시,4519000000,2018,2121.0,0,7554.0,16.0
전라북도,전북김제시,4521000000,2018,1442.0,0,7554.0,1.0
전라북도,전북완주군,4571000000,2018,590.0,0,7554.0,66.0
전라북도,전북진안군,4572000000,2018,133.0,0,7554.0,6.0
전라북도,전북무주군,4573000000,2018,18.0,0,7554.0,11.0
전라북도,전북장수군,4574000000,2018,64.0,0,7554.0,6.0
전라북도,전북임실군,4575000000,2018,17.0,0,7554.0,12.0
전라북도,전북순창군,4577000000,2018,266.0,0,7554.0,2.0
전라북도,전북고창군,4579000000,2018,700.0,0,7554.0,19.0
전라북도,전북부안군,4580000000,2018,895.0,0,7554.0,36.0
전라남도,전남목포시,4611000000,2018,4919.0,0,4306.0,100.0
전라남도,전남여수시,4613000000,2018,2890.0,0,4306.0,161.0
전라남도,전남순천시,4615000000,2018,3076.0,0,4306.0,164.0
전라남도,전남나주시,4617000000,2018,1045.0,0,4306.0,99.0
전라남도,전남광양시,4623000000,2018,772.0,0,4306.0,159.0
전라남도,전남담양군,4671000000,2018,243.0,0,4306.0,126.0
전라남도,전남곡성군,4672000000,2018,53.0,0,4306.0,17.0
전라남도,전남구례군,4673000000,2018,59.0,0,4306.0,3.0
전라남도,전남고흥군,4677000000,2018,1870.0,0,4306.0,25.0
전라남도,전남보성군,4678000000,2018,276.0,0,4306.0,18.0
전라남도,전남화순군,4679000000,2018,685.0,0,4306.0,10.0
전라남도,전남장흥군,4680000000,2018,163.0,0,4306.0,12.0
전라남도,전남강진군,4681000000,2018,377.0,0,4306.0,11.0
전라남도,전남해남군,4682000000,2018,1491.0,0,4306.0,57.0
전라남도,전남영암군,4683000000,2018,126.0,0,4306.0,10.0
전라남도,전남무안군,4684000000,2018,731.0,0,4306.0,27.0
전라남도,전남함평군,4686000000,2018,64.0,0,4306.0,14.0
전라남도,전남영광군,4687000000,2018,597.0,0,4306.0,5.0
전라남도,전남장성군,4688000000,2018,276.0,0,4306.0,29.0
전라남도,전남완도군,4689000000,2018,40.0,0,4306.0,11.0
전라남도,전남진도군,4690000000,2018,49.0,0,4306.0,10.0
