시도,시군구,행정번호,년도,총인구수,고용률
강원도,강원동해시,4217000000,2018,91272,60.3
강원도,강원태백시,4219000000,2018,44858,58.8
강원도,강원속초시,4221000000,2018,81682,60.2
강원도,강원삼척시,4223000000,2018,68326,56.5
강원도,강원홍천군,4272000000,2018,69949,63.95
강원도,강원횡성군,4273000000,2018,46726,66.45
강원도,강원영월군,4275000000,2018,39730,66.1
강원도,강원평창군,4276000000,2018,42610,66.4
강원도,강원정선군,4277000000,2018,37700,66.75
강원도,강원철원군,4278000000,2018,46413,64.25
강원도,강원화천군,4279000000,2018,25084,68.1
강원도,강원양구군,4280000000,2018,23408,65.4
강원도,강원인제군,4281000000,2018,32136,68.8
강원도,강원고성군,4282000000,2018,28144,65.7
강원도,강원양양군,4283000000,2018,27347,63.95
충청북도,충북청주상당구,4311100000,2018,176818,60.3
충청북도,충북청주서원구,4311200000,2018,209404,60.3
충청북도,충북청주흥덕구,4311300000,2018,254302,60.3
충청북도,충북청주청원구,4311400000,2018,197225,60.3
충청북도,충북충주시,4313000000,2018,210504,61.05
충청북도,충북제천시,4315000000,2018,135386,60.1
충청북도,충북보은군,4372000000,2018,33680,65.15
충청북도,충북옥천군,4373000000,2018,51465,63.5
충청북도,충북영동군,4374000000,2018,49715,61.45
충청북도,충북증평군,4374500000,2018,37317,63.85
충청북도,충북진천군,4375000000,2018,78218,69.65
충청북도,충북괴산군,4376000000,2018,39133,64.8
충청북도,충북음성군,4377000000,2018,95830,67.75
충청북도,충북단양군,4380000000,2018,30255,65.15
충청남도,충남천안동남구,4413100000,2018,257978,63
충청남도,충남천안서북구,4413300000,2018,388097,63
충청남도,충남공주시,4415000000,2018,107581,65.45
충청남도,충남보령시,4418000000,2018,101990,64.25
충청남도,충남아산시,4420000000,2018,312822,62.25
충청남도,충남서산시,4421000000,2018,174162,65.6
충청남도,충남논산시,4423000000,2018,120230,64.35
충청남도,충남계룡시,4425000000,2018,43731,54.85
충청남도,충남당진시,4427000000,2018,167770,69.95
충청남도,충남금산군,4471000000,2018,53222,64.8
충청남도,충남부여군,4476000000,2018,68078,64.85
충청남도,충남서천군,4477000000,2018,53922,67.4
충청남도,충남청양군,4479000000,2018,32296,74.65
충청남도,충남홍성군,4480000000,2018,101082,63.1
충청남도,충남예산군,4481000000,2018,80083,66.3
충청남도,충남태안군,4482500000,2018,63238,71.9
전라북도,전북전주완산구,4511100000,2018,345065,54.9
전라북도,전북전주덕진구,4511300000,2018,306026,54.9
전라북도,전북군산시,4513000000,2018,272645,53.1
전라북도,전북익산시,4514000000,2018,294062,54.1
전라북도,전북정읍시,4518000000,2018,112169,59.35
전라북도,전북남원시,4519000000,2018,82554,63.95
전라북도,전북김제시,4521000000,2018,85331,60.2
전라북도,전북완주군,4571000000,2018,94444,60.1
전라북도,전북진안군,4572000000,2018,25963,70.8
전라북도,전북무주군,4573000000,2018,24589,71.1
전라북도,전북장수군,4574000000,2018,23221,75.75
전라북도,전북임실군,4575000000,2018,30072,67.85
전라북도,전북순창군,4577000000,2018,29209,65.95
전라북도,전북고창군,4579000000,2018,57041,66.45
전라북도,전북부안군,4580000000,2018,54441,69.3
전라남도,전남목포시,4611000000,2018,232327,55.1
전라남도,전남여수시,4613000000,2018,283300,60.8
전라남도,전남순천시,4615000000,2018,279389,59.85
전라남도,전남나주시,4617000000,2018,113839,65.3
전라남도,전남광양시,4623000000,2018,156564,63.45
전라남도,전남담양군,4671000000,2018,46917,65.7
전라남도,전남곡성군,4672000000,2018,29624,65.6
전라남도,전남구례군,4673000000,2018,27117,69.25
전라남도,전남고흥군,4677000000,2018,65777,73.8
전라남도,전남보성군,4678000000,2018,42803,66.45
전라남도,전남화순군,4679000000,2018,63933,61.75
전라남도,전남장흥군,4680000000,2018,39312,67.65
전라남도,전남강진군,4681000000,2018,36144,68.65
전라남도,전남해남군,4682000000,2018,71901,72.7
전라남도,전남영암군,4683000000,2018,54731,63.15
전라남도,전남무안군,4684000000,2018,81991,60.75
전라남도,전남함평군,4686000000,2018,33420,68.15
전라남도,전남영광군,4687000000,2018,54127,68.25
전라남도,전남장성군,4688000000,2018,45795,64.65
전라남도,전남완도군,4689000000,2018,51477,69.45
전라남도,전남진도군,4690000000,2018,31219,68.8
전라남도,전남신안군,4691000000,2018,41263,79.35
경상북도,경북포항남구,4711100000,2018,239400,60.8
경상북도,경북포항북구,4711300000,2018,270613,60.8
경상북도,경북경주시,4713000000,2018,256864,61.6
경상북도,경북김천시,4715000000,2018,141104,58.6
경상북도,경북안동시,4717000000,2018,162180,60.4
경상북도,경북구미시,4719000000,2018,421494,62.95
경상북도,경북영주시,4721000000,2018,106801,57.5
경상북도,경북영천시,4723000000,2018,101595,66.85
경상북도,경북상주시,4725000000,2018,100297,63.5
경상북도,경북문경시,4728000000,2018,71874,58.9
경상북도,경북경산시,4729000000,2018,261093,57.7
경상북도,경북군위군,4772000000,2018,23919,72.45
경상북도,경북의성군,4773000000,2018,52944,71.2
경상북도,경북청송군,4775000000,2018,25678,73.15
경상북도,경북영양군,4776000000,2018,17356,70.4
경상북도,경북영덕군,4777000000,2018,38108,62
경상북도,경북청도군,4782000000,2018,43057,70.3
경상북도,경북고령군,4783000000,2018,32969,65.05
경상북도,경북성주군,4784000000,2018,44672,70.55
경상북도,경북칠곡군,4785000000,2018,118828,62.75
경상북도,경북예천군,4790000000,2018,53274,66.95
경상북도,경북봉화군,4792000000,2018,32843,72.1
경상북도,경북울진군,4793000000,2018,50036,61.9
경상북도,경북울릉군,4794000000,2018,9832,84.1
경상남도,경남창원의창구,4812100000,2018,252896,59.4
경상남도,경남창원성산구,4812300000,2018,227337,59.4
경상남도,경남창원마산합포구,4812500000,2018,180535,59.4
경상남도,경남창원마산회원구,4812700000,2018,199457,59.4
경상남도,경남창원진해구,4812900000,2018,193376,59.4
경상남도,경남진주시,4817000000,2018,345987,57.05
경상남도,경남통영시,4822000000,2018,133720,54.05
경상남도,경남사천시,4824000000,2018,113888,63.75
경상남도,경남김해시,4825000000,2018,533672,60.15
경상남도,경남밀양시,4827000000,2018,106744,58.75
경상남도,경남거제시,4831000000,2018,250516,58.85
경상남도,경남양산시,4833000000,2018,348639,57.85
경상남도,경남의령군,4872000000,2018,27667,67.95
경상남도,경남함안군,4873000000,2018,67025,61.7
경상남도,경남창녕군,4874000000,2018,63396,64.65
경상남도,경남고성군,4882000000,2018,53243,65.05
경상남도,경남남해군,4884000000,2018,43990,67.35
경상남도,경남하동군,4885000000,2018,47533,71.1
경상남도,경남산청군,4886000000,2018,35952,70.4
경상남도,경남함양군,4887000000,2018,40044,63.95
경상남도,경남거창군,4888000000,2018,62455,63.55
경상남도,경남합천군,4889000000,2018,45916,66.6
제주특별자치도,제주제주시,5011000000,2018,485946,66.2
제주특별자치도,제주서귀포시,5013000000,2018,181245,70.85
서울특별시,서울종로구,1111000000,2019,151290,60
서울특별시,서울중구,1114000000,2019,126171,60
서울특별시,서울용산구,1117000000,2019,228670,60
서울특별시,서울성동구,1120000000,2019,300889,60
서울특별시,서울광진구,1121500000,2019,351350,60
서울특별시,서울동대문구,1123000000,2019,346194,60
서울특별시,서울중랑구,1126000000,2019,397015,60
서울특별시,서울성북구,1129000000,2019,442650,60
서울특별시,서울강북구,1130500000,2019,313954,60
서울특별시,서울도봉구,1132000000,2019,333362,60
서울특별시,서울노원구,1135000000,2019,532905,60
서울특별시,서울은평구,1138000000,2019,480032,60
서울특별시,서울서대문구,1141000000,2019,309397,60
서울특별시,서울마포구,1144000000,2019,374035,60
서울특별시,서울양천구,1147000000,2019,458165,60
서울특별시,서울강서구,1150000000,2019,591796,60
서울특별시,서울구로구,1153000000,2019,406664,60
서울특별시,서울금천구,1154500000,2019,232810,60
서울특별시,서울영등포구,1156000000,2019,367678,60
서울특별시,서울동작구,1159000000,2019,395963,60
서울특별시,서울관악구,1162000000,2019,500094,60
서울특별시,서울서초구,1165000000,2019,430826,60
서울특별시,서울강남구,1168000000,2019,545169,60
서울특별시,서울송파구,1171000000,2019,675961,60
서울특별시,서울강동구,1174000000,2019,436067,60
부산광역시,부산중구,2611000000,2019,41910,56.6
부산광역시,부산서구,2614000000,2019,108229,56.6
부산광역시,부산동구,2617000000,2019,88165,56.6
부산광역시,부산영도구,2620000000,2019,116711,56.6
부산광역시,부산부산진구,2623000000,2019,357880,56.6
부산광역시,부산동래구,2626000000,2019,271247,56.6
부산광역시,부산남구,2629000000,2019,274480,56.6
부산광역시,부산북구,2632000000,2019,291132,56.6
부산광역시,부산해운대구,2635000000,2019,406102,56.6
부산광역시,부산사하구,2638000000,2019,321004,56.6
부산광역시,부산금정구,2641000000,2019,239062,56.6
부산광역시,부산강서구,2644000000,2019,129566,56.6
부산광역시,부산연제구,2647000000,2019,209395,56.6
부산광역시,부산수영구,2650000000,2019,176148,56.6
부산광역시,부산사상구,2653000000,2019,218094,56.6
부산광역시,부산기장군,2671000000,2019,164716,56.6
대구광역시,대구중구,2711000000,2019,77421,57.9
대구광역시,대구동구,2714000000,2019,345469,57.9
대구광역시,대구서구,2717000000,2019,175277,57.9
대구광역시,대구남구,2720000000,2019,148113,57.9
대구광역시,대구북구,2723000000,2019,437710,57.9
대구광역시,대구수성구,2726000000,2019,428614,57.9
대구광역시,대구달서구,2729000000,2019,568887,57.9
대구광역시,대구달성군,2771000000,2019,256540,57.9
인천광역시,인천중구,2811000000,2019,135135,62.5
인천광역시,인천동구,2814000000,2019,64427,62.5
인천광역시,인천미추홀구,2817700000,2019,408862,62.5
인천광역시,인천연수구,2818500000,2019,366550,62.5
인천광역시,인천남동구,2820000000,2019,532704,62.5
인천광역시,인천부평구,2823700000,2019,511577,62.5
인천광역시,인천계양구,2824500000,2019,303471,62.5
인천광역시,인천서구,2826000000,2019,544556,62.5
인천광역시,인천강화군,2871000000,2019,69178,62.5
인천광역시,인천옹진군,2872000000,2019,20566,62.5
광주광역시,광주동구,2911000000,2019,98585,59.3
광주광역시,광주서구,2914000000,2019,300975,59.3
광주광역시,광주남구,2915500000,2019,218060,59.3
