"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"1","2022","서울","1100000","서울본청","문화시설","공립도서관","서울도서관","2012.10.26","직영","9499","12709","55","560289","64100000000","64100000000","1602500000","16025000000","48075000000","40","4141783653","1670930","-4140112723"
"2","2022","서울","1100000","서울본청","기타시설","기타시설","서울식물원","2019.12.30","직영","28838.19","383215.9","205","6739110","292552736650","292552736650","317862391","8926635556","283626101094","40","8636916408","4170976420","-4465939988"
"3","2022","서울","1100000","서울본청","문화시설","박물관","서울공예박물관","2021.07.22","직영","10818.83","14170.4","120","436666","175656000000","104595327710","79344885","462079062","104133248648","40","9654753514","195159930","-9459593584"
"4","2022","서울","1100000","서울본청","기타시설","기타시설","보라매안전체험관","2010.04.30","직영","8020.77","4753","23","116748","39229341000","38229341000","955733525","12424535825","25804805175","40","2081287113","0","-2081287113"
"5","2022","서울","1100000","서울본청","문화시설","박물관","서울도시건축전시관","2019.01.11","위탁","2998.23","1558.3","16","44066","34000000000","21047438620","526185965","2104743860","18942694760","40","1559075075","24679503","-1534395572"
"6","2022","서울","1100000","서울본청","문화시설","문화예술회관","동대문디자인플라자","2013.11.30","위탁","86574","62108","0","10510000","421222000000","366086311000","0","67033371811","299052939189","40","14271000000","17130000000","2859000000"
"7","2022","서울","1100000","서울본청","문화시설","청소년수련회관","노원청소년수련관","1997.06.30","위탁","8426","3560","55","368583","39443023000","36476421000","911910525","24621584175","11854836825","40","4492250724","4355825077","-136425647"
"8","2022","서울","1100000","서울본청","문화시설","과학관","서울시립과학관","2016.06.19","직영","12376.42","25875.6","81","66589","42349000000","35801267370","708282950","12271265389","23530001981","40","5441949550","239513000","-5202436550"
"9","2022","서울","1100000","서울본청","체육시설","육상경기장","잠실올림픽주경기장","1984.09.29","직영","75469","111792","37","619495","36736270000","36736270000","918406750","34899456500","1836813500","40","3237475000","12289091000","9051616000"
"10","2022","서울","1100000","서울본청","문화시설","박물관","한성백제박물관","2011.12.31","직영","19423","14894","140","493738","79530541228","29337087228","775337305","6852305370","22484781858","40","13818412830","46826580","-13771586250"
"11","2022","서울","1100000","서울본청","문화시설","청소년수련회관","성동청소년수련관","2004.04.24","위탁","5773","1322","46","407492","141151495609","8508976000","212724400","4041763600","4467212400","40","3905712818","3996344058","90631240"
"12","2022","서울","1112000","서울중구","문화시설","문화예술회관","충무아트센터","2005.02.04","위탁","25994.98","6512.55","104","400365","46352278240","34638991339","516656596","8765153210","25873838129","40","16219937656","20323521212","4103583556"
"13","2022","서울","1112000","서울중구","문화시설","박물관","서소문성지 역사박물관","2019.01.31","위탁","24526.47","21363","19","160904","59131191170","59131191170","1642533088","5461422517","53669768653","40","1870256000","1870256000","0"
"14","2022","서울","1114000","서울성동구","문화시설","문화예술회관","성동문화회관","1989.10.20","위탁","5760","3887","0","39876","11810000000","11810000000","389000000","3801000000","8009000000","40","86929000000","24816000000","-62113000000"
"15","2022","서울","1114000","서울성동구","체육시설","기타체육시설","서울숲복합문화체육센터","2022.07.01","위탁","5589","11200","0","288864","30550000000","30550000000","764000000","764000000","29786000000","40","2626000000","909000000","-1717000000"
"16","2022","서울","1114000","서울성동구","문화시설","공립도서관","성동구립도서관","1999.04.23","위탁","5692","1894","0","605937","12148000000","12148000000","304000000","6682000000","5466000000","40","2052000000","151000000","-1901000000"
"17","2022","서울","1114000","서울성동구","문화시설","문화예술회관","성수문화복지회관","2012.09.14","위탁","9726","2204","0","23124","23579589690","23579589690","589000000","5304000000","18275589690","40","55068000000","43245000000","-11823000000"
"18","2022","서울","1119000","서울강북구","체육시설","축구장","강북구민운동장","2000.07.11","위탁","441","33027","0","61562","13593000000","13593000000","362000000","7820000000","5773000000","40","230000000","208000000","-22000000"
"19","2022","서울","1119000","서울강북구","체육시설","체육관","강북웰빙스포츠센터","2005.01.31","위탁","3462","4539","0","453335","14480000000","14480000000","469906745","9244613489","5235386511","40","3578000000","1887000000","-1691000000"
"20","2022","서울","1119000","서울강북구","문화시설","문화예술회관","강북문화예술회관","2001.10.31","위탁","12543","13345","35","463346","45096935000","45096935000","941000000","18163000000","26933935000","40","3214000000","1160000000","-2054000000"
"21","2022","서울","1121000","서울노원구","문화시설","문화예술회관","노원문화예술회관","2004.06.16","위탁","13167","3071","45","40871","24550000000","20280138700","518929565","9339373698","10940765002","40","1666086817","249909299","-1416177518"
