"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"27","2019","서울","1115000","서울광진구","체육시설","체육관","광진구민체육센터","2006.06.30","위탁","6623","10921","27","958633","27049000000","25369232140","468254993","5409675637","19959556503","40","4366963034","3642868604","-724094430"
"28","2019","서울","1115000","서울광진구","문화시설","문화예술회관","광진문화예술회관","2005.03.01","위탁","18860","5931","26","892894","38273000000","32219882040","349619667","2755697194","29464184846","40","3944916532","4084719682","139803150"
"29","2019","서울","1115000","서울광진구","체육시설","체육관","중곡문화체육센터","2008.10.28","위탁","8176","3690","25","769916","20452000000","16499838790","412521239","3814810670","12685028120","40","3424715109","2718514774","-706200335"
"30","2019","서울","1115000","서울광진구","문화시설","공립도서관","광진정보도서관","2000.11.10","위탁","7283.1","3499.8","27","1711406","19485000000","10539807229","69054767","1268016156","9271791073","40","2320583650","133002060","-2187581590"
"31","2019","서울","1116000","서울동대문구","기타시설","기타시설","용두문화복지센터","2018.06.25","위탁","3629.98","1044.6","7","2000","23131000000","23131000000","578275000","1156550000","21974450000","40","341053951","38557570","-302496381"
"32","2019","서울","1116000","서울동대문구","기타시설","기타시설","서울한방진흥센터","2017.08.15","직영","1651.36","2789.5","20","79463","46525000000","46525000000","1163125000","2326250000","44198750000","40","930154000","159626000","-770528000"
"33","2019","서울","1116000","서울동대문구","복지시설","종합사회복지관","동대문종합사회복지관","2000.07.15","위탁","7464","1845","55","569695","12718000000","12718000000","249458453","4770870291","7947129700","40","4990936910","5720689249","729752339"
"34","2019","서울","1116000","서울동대문구","문화시설","공립도서관","답십리도서관","2014.04.03","위탁","3142.69","883.6","18","517538","11519000000","11519000000","287975000","1439875000","10079125000","40","948724478","230834390","-717890088"
"35","2019","서울","1116000","서울동대문구","체육시설","체육관","동대문구체육관","2004.09.08","위탁","5742.69","5746","12","474637","11438000000","11438000000","285950000","4289250000","7148750000","40","750807437","448362132","-302445305"
"36","2019","서울","1117000","서울중랑구","체육시설","체육관","중랑문화체육관","2006.08.07","위탁","5075.04","6998.2","24","609970","15548000000","15213008170","301283229","4042216656","11170791514","40","2112979626","1601232869","-511746757"
"37","2019","서울","1117000","서울중랑구","체육시설","체육관","중랑구민체육센터","1999.08.31","위탁","6302.26","3248","29","88818","15030480000","15030480000","232850000","4754020833","10276459167","40","3195897144","2974805174","-221091970"
"38","2019","서울","1117000","서울중랑구","문화시설","공립도서관","중랑구립정보도서관","1999.01.26","위탁","5106.36","3307.7","31","1129457","12180884000","5625000000","140625000","2953125000","2671875000","40","2001299040","107692666","-1893606374"
"39","2019","서울","1118000","서울성북구","문화시설","공립도서관","성북정보도서관","2001.12.15","직영","6667","2468","28","260361","13134000000","5204474990","55101312","845736573","4358738417","40","1201880000","32428000","-1169452000"
"40","2019","서울","1118000","서울성북구","기타시설","기타시설","성북구육아종합지원센터/부모지원센터(보문)","2016.05.24","직영","1971.56","1138.8","17","50612","13508000000","11236813660","93270052","218041770","11018771890","40","1191997524","63992650","-1128004874"
"41","2019","서울","1119000","서울강북구","체육시설","축구장","강북구민운동장","2000.07.22","위탁","172","12000","5","146514","13593000000","13593000000","339825000","6626587500","6966412500","40","251850000","180197000","-71653000"
"42","2019","서울","1119000","서울강북구","문화시설","문화예술회관","강북문화예술회관","2001.11.01","위탁","11266.65","13345","43","1201228","34090000000","34090000000","852250000","14448250000","19601750000","40","2557683000","612566000","-1945117000"
"43","2019","서울","1119000","서울강북구","체육시설","체육관","강북웰빙스포츠센터","2005.01.31","위탁","6828.3","4539.6","36","965414","14480000000","14480000000","362000000","5430000000","9050000000","40","3590516000","2509124000","-1081392000"
"44","2019","서울","1120000","서울도봉구","문화시설","박물관","둘리뮤지엄","2015.04.30","위탁","4151","5600","18","83483","17638000000","16851275590","421281889","1965982149","14885293441","40","1143000000","268065990","-874934010"
"45","2019","서울","1121000","서울노원구","문화시설","문화예술회관","노원문화예술회관","2004.06.16","위탁","13167","3071","56","200000","24550000000","20280138700","518929565","7782585003","12497553697","40","1709000000","347000000","-1362000000"
"46","2019","서울","1121000","서울노원구","체육시설","기타체육시설","월계구민체육센터","2017.07.31","위탁","7999","261303","36","60964","22681950010","22681950010","567048750","1181351562","21500598448","40","2738299939","2663331000","-74968939"
"47","2019","서울","1121000","서울노원구","문화시설","공립도서관","노원정보도서관","2005.11.14","위탁","6526.8","2850","0","808000","16792000000","14337430910","359256893","5056627834","9280803076","40","960304460","66190650","-894113810"
"48","2019","서울","1121000","서울노원구","문화시설","청소년수련회관","노원수학문화관","2019.09.10","직영","2885","2626","14","38822","18087000000","6363462840","0","0","6363462840","0","717405930","15000000","-702405930"
"49","2019","서울","1122000","서울은평구","체육시설","체육관","은평구민체육센터","2003.09.01","위탁","8847","9988","47","83377","22613000000","16699521990","317326731","5064208491","11635313499","40","2732970180","2955447553","222477373"
"50","2019","서울","1122000","서울은평구","체육시설","체육관","은평다목적체육관","2014.02.12","위탁","2954","5876","10","25116","27424000000","8563810600","214152584","1586005555","25837994445","40","774712510","320627990","-454084520"
"51","2019","서울","1122000","서울은평구","문화시설","문화예술회관","은평문화예술회관","1996.11.15","위탁","9151","16083","29","200316","17643000000","3034801000","75870025","1681785554","1353015446","40","3600721938","623618342","-2977103596"
"52","2019","서울","1122000","서울은평구","문화시설","박물관","은평역사한옥박물관","2014.10.07","직영","2901","6530","18","73763","12528000000","12276170060","306904251","2838864321","9437305739","40","772724000","58900000","-713824000"
"53","2019","서울","1123000","서울서대문구","문화시설","박물관","서대문자연사박물관","2003.07.10","직영","1998.84","10351","32","289031","23870000000","23870000000","70733803","2628312727","21241687273","60","3741000000","1279000000","-2462000000"
"54","2019","서울","1123000","서울서대문구","기타시설","기타시설","서대문문화체육회관","1993.06.30","위탁","5947.41","11326","50","862552","24831000000","24831000000","810119451","8278155269","16552844731","40","3793000000","2585000000","-1208000000"
"55","2019","서울","1124000","서울마포구","체육시설","체육관","마포구민체육센터","2015.10.30","위탁","7390","3554","27","112321","16541897970","16541897970","414945866","1688448757","14853449213","40","2018112367","1563151029","-454961338"
"56","2019","서울","1124000","서울마포구","기타시설","기타시설","마포아트센터","2002.04.26","위탁","19756","8388","90","156105","31420188040","31420188040","82478649","16563044647","14857143393","40","9142835000","3674233000","-5468602000"
"57","2019","서울","1124000","서울마포구","문화시설","공립도서관","마포중앙도서관","2017.10.27","직영","20229.36","10754","50","1069146","39945350230","39945350230","998633755","2413364908","37531985322","40","5000561388","1255283870","-3745277518"
"58","2019","서울","1125000","서울양천구","문화시설","문화예술회관","양천문화회관","1998.01.12","직영","12801","4658","11","260000","18590000000","18590000000","464750000","5112250000","13477750000","40","787033270","69073150","-717960120"
"59","2019","서울","1126000","서울강서구","체육시설","체육관","마곡레포츠센터","2006.11.30","위탁","4079","20000","26","68522","13289450500","13289450500","333826378","4248319422","9041131078","40","2497823000","2073915530","-423907470"
"60","2019","서울","1126000","서울강서구","체육시설","체육관","강서구민올림픽체육센터","2000.07.31","위탁","11357","3011","34","21898","17219000000","6088340500","156268067","2858800433","3229540067","40","2480669000","451117000","-2029552000"
"61","2019","서울","1126000","서울강서구","문화시설","미술관","겸재정선미술관","2008.11.30","위탁","3305.29","4065","10","85448","16788000000","16788000000","247738087","2692166016","14095833984","40","653660850","74349740","-579311110"
"62","2019","서울","1126000","서울강서구","문화시설","박물관","허준박물관","2004.11.20","위탁","3934.61","5693","10","72888","14889100000","10048867000","73982009","799181605","9249685395","40","657964000","72904230","-585059770"
