시도,시군구,행정번호,,
경기도,경기고양덕양구,4128100000,,경기도 고양시 덕양구 (4128100000)
경기도,경기고양일산동구,4128500000,,경기도 고양시 일산동구 (4128500000)
경기도,경기고양일산서구,4128700000,,경기도 고양시 일산서구 (4128700000)
경기도,경기과천시,4129000000,,경기도 과천시 (4129000000)
경기도,경기구리시,4131000000,,경기도 구리시 (4131000000)
경기도,경기남양주시,4136000000,,경기도 남양주시 (4136000000)
경기도,경기오산시,4137000000,,경기도 오산시 (4137000000)
경기도,경기시흥시,4139000000,,경기도 시흥시 (4139000000)
경기도,경기군포시,4141000000,,경기도 군포시 (4141000000)
경기도,경기의왕시,4143000000,,경기도 의왕시 (4143000000)
경기도,경기하남시,4145000000,,경기도 하남시 (4145000000)
경기도,경기용인처인구,4146100000,,경기도 용인시 처인구 (4146100000)
경기도,경기용인기흥구,4146300000,,경기도 용인시 기흥구 (4146300000)
경기도,경기용인수지구,4146500000,,경기도 용인시 수지구 (4146500000)
경기도,경기파주시,4148000000,,경기도 파주시 (4148000000)
경기도,경기이천시,4150000000,,경기도 이천시 (4150000000)
경기도,경기안성시,4155000000,,경기도 안성시 (4155000000)
경기도,경기김포시,4157000000,,경기도 김포시 (4157000000)
경기도,경기화성시,4159000000,,경기도 화성시 (4159000000)
경기도,경기광주시,4161000000,,경기도 광주시 (4161000000)
경기도,경기양주시,4163000000,,경기도 양주시 (4163000000)
경기도,경기포천시,4165000000,,경기도 포천시 (4165000000)
경기도,경기여주시,4167000000,,경기도 여주시 (4167000000)
경기도,경기연천군,4180000000,,경기도 연천군 (4180000000)
경기도,경기가평군,4182000000,,경기도 가평군 (4182000000)
경기도,경기양평군,4183000000,,경기도 양평군 (4183000000)
강원도,강원춘천시,4211000000,,강원도 춘천시 (4211000000)
강원도,강원원주시,4213000000,,강원도 원주시 (4213000000)
강원도,강원강릉시,4215000000,,강원도 강릉시 (4215000000)
강원도,강원동해시,4217000000,,강원도 동해시 (4217000000)
강원도,강원태백시,4219000000,,강원도 태백시 (4219000000)
강원도,강원속초시,4221000000,,강원도 속초시 (4221000000)
강원도,강원삼척시,4223000000,,강원도 삼척시 (4223000000)
강원도,강원홍천군,4272000000,,강원도 홍천군 (4272000000)
강원도,강원횡성군,4273000000,,강원도 횡성군 (4273000000)
강원도,강원영월군,4275000000,,강원도 영월군 (4275000000)
강원도,강원평창군,4276000000,,강원도 평창군 (4276000000)
강원도,강원정선군,4277000000,,강원도 정선군 (4277000000)
강원도,강원철원군,4278000000,,강원도 철원군 (4278000000)
강원도,강원화천군,4279000000,,강원도 화천군 (4279000000)
강원도,강원양구군,4280000000,,강원도 양구군 (4280000000)
강원도,강원인제군,4281000000,,강원도 인제군 (4281000000)
강원도,강원고성군,4282000000,,강원도 고성군 (4282000000)
강원도,강원양양군,4283000000,,강원도 양양군 (4283000000)
충청북도,충북청주상당구,4311100000,,충청북도 청주시 상당구 (4311100000)
충청북도,충북청주서원구,4311200000,,충청북도 청주시 서원구 (4311200000)
충청북도,충북청주흥덕구,4311300000,,충청북도 청주시 흥덕구 (4311300000)
충청북도,충북청주청원구,4311400000,,충청북도 청주시 청원구 (4311400000)
충청북도,충북충주시,4313000000,,충청북도 충주시 (4313000000)
충청북도,충북제천시,4315000000,,충청북도 제천시 (4315000000)
충청북도,충북보은군,4372000000,,충청북도 보은군 (4372000000)
충청북도,충북옥천군,4373000000,,충청북도 옥천군 (4373000000)
충청북도,충북영동군,4374000000,,충청북도 영동군 (4374000000)
충청북도,충북증평군,4374500000,,충청북도 증평군 (4374500000)
충청북도,충북진천군,4375000000,,충청북도 진천군 (4375000000)
충청북도,충북괴산군,4376000000,,충청북도 괴산군 (4376000000)
충청북도,충북음성군,4377000000,,충청북도 음성군 (4377000000)
충청북도,충북단양군,4380000000,,충청북도 단양군 (4380000000)
충청남도,충남천안동남구,4413100000,,충청남도 천안시 동남구 (4413100000)
충청남도,충남천안서북구,4413300000,,충청남도 천안시 서북구 (4413300000)
충청남도,충남공주시,4415000000,,충청남도 공주시 (4415000000)
충청남도,충남보령시,4418000000,,충청남도 보령시 (4418000000)
충청남도,충남아산시,4420000000,,충청남도 아산시 (4420000000)
충청남도,충남서산시,4421000000,,충청남도 서산시 (4421000000)
충청남도,충남논산시,4423000000,,충청남도 논산시 (4423000000)
충청남도,충남계룡시,4425000000,,충청남도 계룡시 (4425000000)
충청남도,충남당진시,4427000000,,충청남도 당진시 (4427000000)
충청남도,충남금산군,4471000000,,충청남도 금산군 (4471000000)
충청남도,충남부여군,4476000000,,충청남도 부여군 (4476000000)
충청남도,충남서천군,4477000000,,충청남도 서천군 (4477000000)
충청남도,충남청양군,4479000000,,충청남도 청양군 (4479000000)
충청남도,충남홍성군,4480000000,,충청남도 홍성군 (4480000000)
충청남도,충남예산군,4481000000,,충청남도 예산군 (4481000000)
충청남도,충남태안군,4482500000,,충청남도 태안군 (4482500000)
전라북도,전북전주완산구,4511100000,,전라북도 전주시 완산구 (4511100000)
전라북도,전북전주덕진구,4511300000,,전라북도 전주시 덕진구 (4511300000)
전라북도,전북군산시,4513000000,,전라북도 군산시 (4513000000)
전라북도,전북익산시,4514000000,,전라북도 익산시 (4514000000)
전라북도,전북정읍시,4518000000,,전라북도 정읍시 (4518000000)
전라북도,전북남원시,4519000000,,전라북도 남원시 (4519000000)
전라북도,전북김제시,4521000000,,전라북도 김제시 (4521000000)
전라북도,전북완주군,4571000000,,전라북도 완주군 (4571000000)
전라북도,전북진안군,4572000000,,전라북도 진안군 (4572000000)
전라북도,전북무주군,4573000000,,전라북도 무주군 (4573000000)
전라북도,전북장수군,4574000000,,전라북도 장수군 (4574000000)
전라북도,전북임실군,4575000000,,전라북도 임실군 (4575000000)
전라북도,전북순창군,4577000000,,전라북도 순창군 (4577000000)
전라북도,전북고창군,4579000000,,전라북도 고창군 (4579000000)
전라북도,전북부안군,4580000000,,전라북도 부안군 (4580000000)
전라남도,전남목포시,4611000000,,전라남도 목포시 (4611000000)
전라남도,전남여수시,4613000000,,전라남도 여수시 (4613000000)
전라남도,전남순천시,4615000000,,전라남도 순천시 (4615000000)
전라남도,전남나주시,4617000000,,전라남도 나주시 (4617000000)
전라남도,전남광양시,4623000000,,전라남도 광양시 (4623000000)
전라남도,전남담양군,4671000000,,전라남도 담양군 (4671000000)
전라남도,전남곡성군,4672000000,,전라남도 곡성군 (4672000000)
전라남도,전남구례군,4673000000,,전라남도 구례군 (4673000000)
전라남도,전남고흥군,4677000000,,전라남도 고흥군 (4677000000)
전라남도,전남보성군,4678000000,,전라남도 보성군 (4678000000)
전라남도,전남화순군,4679000000,,전라남도 화순군 (4679000000)
전라남도,전남장흥군,4680000000,,전라남도 장흥군 (4680000000)
전라남도,전남강진군,4681000000,,전라남도 강진군 (4681000000)
전라남도,전남해남군,4682000000,,전라남도 해남군 (4682000000)
전라남도,전남영암군,4683000000,,전라남도 영암군 (4683000000)
전라남도,전남무안군,4684000000,,전라남도 무안군 (4684000000)
