"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"1","2020","서울","1100000","서울본청","문화시설","청소년수련회관","창동청소년수련관","2005.06.30","위탁","5016","61563","25","129827","18898849655","2357567000","66753482","727669481","1629897519","40","2020491370","2158255862","137764492"
"2","2020","서울","1100000","서울본청","문화시설","청소년수련회관","서대문청소년수련관","2005.06.01","위탁","5804","5361","26","813280","15927232678","10050942400","292199563","2965102996","7085839404","40","2555015920","2707721779","152705859"
"3","2020","서울","1100000","서울본청","기타시설","기타시설","보라매안전체험관","2010.05.25","직영","8020.77","4753","15","9495","41452000000","38229341000","955733525","9955557552","28273783448","40","883059000","0","-883059000"
"4","2020","서울","1100000","서울본청","기타시설","기타시설","광나루안전체험관","2003.03.06","직영","5444.5","5041.6","25","12946","20549000000","2558915000","73227789","954005954","1604909046","40","1323694000","0","-1323694000"
"5","2020","서울","1100000","서울본청","문화시설","박물관","서울도시건축전시관","2019.01.11","위탁","2998.23","1558.3","16","40922","34000000000","21047438620","526185965","1052371931","1995066689","40","1920248500","416806","-1919831694"
"6","2020","서울","1100000","서울본청","문화시설","박물관","서울우리소리박물관","2019.11.21","직영","1385","854","19","18335","21258000000","11306806989","565340349","800898827","10505908162","20","1950202000","0","-1950202000"
"7","2020","서울","1100000","서울본청","문화시설","청소년수련회관","광진청소년수련관","2006.06.30","위탁","5548","2081","35","302191","12842000000","11320529000","283013225","3985769585","7334759415","40","2922760836","3302395539","379634703"
"8","2020","서울","1100000","서울본청","문화시설","문화예술회관","동대문디자인플라자","2013.11.30","위탁","86574","62108","0","6718701","421222432000","384332033793","10127668456","50118974667","334213059126","40","13601813956","6347284852","-7254529104"
"9","2020","서울","1100000","서울본청","문화시설","미술관","서울시립미술관","2002.01.31","직영","13433","25420","151","395602","27804000000","27804000000","798167501","10842940603","16961059397","40","12905441370","342829480","-12562611890"
"10","2020","서울","1100000","서울본청","체육시설","육상경기장","잠실올림픽주경기장","1984.09.29","직영","75469","111792","30","2094","36736270000","36736270000","1327453235","31868941471","4867328529","40","3532594000","5164146000","1631552000"
"11","2020","서울","1100000","서울본청","문화시설","공립도서관","서울도서관","2012.10.26","직영","9499","12709","58","206698","64100000000","64100000000","1602500000","12820000000","51280000000","40","3791027150","4164000","-3786863150"
"12","2020","서울","1100000","서울본청","체육시설","야구장","잠실야구장","1982.07.15","위탁","26331","45312","40","2327975","21968792000","21968792000","995366588","20475742118","1493049882","40","2400023000","6707274000","4307251000"
"13","2020","서울","1100000","서울본청","기타시설","기타시설","서울에너지드림센터","2012.12.10","위탁","3762","13039","11","13068","20306207390","20092113390","502302834","4060281241","16031832149","40","1298922104","14552000","-1284370104"
"14","2020","서울","1100000","서울본청","문화시설","박물관","한성백제박물관","2011.12.31","직영","19423","14894","140","788020","79530000000","79530000000","2485000000","18391000000","61139000000","40","13650042650","39691740","-13610350910"
"15","2020","서울","1100000","서울본청","문화시설","문화예술회관","세종문화회관","1978.04.14","위탁","13081.68","55758.8","452","2120845","28533430000","28533430000","825030467","10520264789","18013165211","40","47272000000","49352000000","2080000000"
"16","2020","서울","1100000","서울본청","문화시설","박물관","서울역사박물관","1998.02.03","직영","20883","99728","267","1152000","34410549830","34410549830","340875731","14952226814","19458323016","80","15678761990","560092080","-15118669910"
"17","2020","서울","1100000","서울본청","문화시설","청소년수련회관","서울청소년수련관","1970.11.11","위탁","6911","985","34","121817","15844526009","5110305310","356018070","1787469980","3322835330","60","9042555036","3791906170","-5250648866"
"18","2020","서울","1100000","서울본청","문화시설","청소년수련회관","수서청소년수련관","1994.07.21","위탁","6381","41328","36","93982","6197982738","2194195000","66377117","1303635346","890559654","40","2592041548","2594995458","2953910"
"19","2020","서울","1100000","서울본청","문화시설","청소년수련회관","노원청소년수련관","1997.06.30","위탁","8246","3560","78","164453","39443023000","2966602000","87595260","1528579811","1438022189","40","4349126569","4135319074","-213807495"
"20","2020","서울","1100000","서울본청","문화시설","청소년수련회관","보라매청소년수련관","1965.12.23","위탁","5260","5100","32","180798","4500000000","736426080","20259420","413963636","322462444","40","3039600338","3206650034","167049696"
"21","2020","서울","1100000","서울본청","문화시설","청소년수련회관","성동청소년수련관","2004.04.24","위탁","1175","20676","38","196665","141151495609","2612856000","74333112","884611122","1728244878","40","2953801091","3114046312","160245221"
"22","2020","서울","1100000","서울본청","문화시설","청소년수련회관","구로청소년수련관","2002.07.29","위탁","4985","2115","26","86592","12467000000","7656000000","219517273","2936378614","4719621386","40","2234305680","2257725989","23420309"
"23","2020","서울","1100000","서울본청","문화시설","청소년수련회관","문래청소년수련관","1987.04.14","위탁","2314","5611","42","235917","10666567882","1284524000","41689060","954485603","330038397","40","3268704284","3089676531","-179027753"
"24","2020","서울","1100000","서울본청","문화시설","청소년수련회관","망우청소년수련관","2006.04.04","위탁","5084","7710","48","315023","22475900000","9000000000","254341165","2662665971","6337334029","40","2791618815","2860306206","68687391"
"25","2020","서울","1100000","서울본청","문화시설","청소년수련회관","금천청소년수련관","2004.07.16","위탁","5055","6268","35","230429","9649963950","9550000000","271404002","3172005932","6377994068","40","2517748796","2530861167","13112371"
"26","2020","서울","1100000","서울본청","문화시설","청소년수련회관","마포청소년수련관","2008.10.01","위탁","1113","2286","34","192998","26916000000","26916000000","756749622","7745009575","19170990425","40","2915175354","3060120814","144945460"
"27","2020","서울","1100000","서울본청","문화시설","과학관","서울시립과학관","2016.06.30","직영","12376.42","25875.6","84","29391","42349000000","42349000000","2231275922","9584848795","32764151205","40","4167288813","50825000","-4116463813"
"28","2020","서울","1100000","서울본청","문화시설","청소년수련회관","중랑청소년수련관","1993.03.20","위탁","1564","7347","34","231529","12823861150","3945767300","120848872","2475439346","1470327954","40","2306699528","2381167503","74467975"
"29","2020","서울","1100000","서울본청","문화시설","청소년수련회관","은평청소년수련관","2003.10.25","위탁","4963","13500","43","290556","27323000000","9360000000","266757196","3269044012","6090955988","40","1557000000","3187000000","1630000000"
"30","2020","서울","1112000","서울중구","문화시설","문화예술회관","충무아트센터","2005.02.04","위탁","25994.98","6512.55","102","174981","46352278240","34638991339","516656596","6698526826","28973777705","40","14181664663","15877132244","1695467581"
"31","2020","서울","1112000","서울중구","체육시설","체육관","회현체육센터","2009.05.01","위탁","4829.24","2693.7","21","104178","15604000000","10751481990","268787049","2956657539","7794824451","40","1222423196","225183050","-997240146"
"32","2020","서울","1112000","서울중구","기타시설","기타시설","중구 구민회관","1990.06.05","위탁","1899.15","5224.3","13","2627","14163382449","14163382449","81634413","1765290011","12398092438","40","1298735225","307965662","-990769563"
"33","2020","서울","1112000","서울중구","문화시설","박물관","서소문성지 역사박물관","2019.01.31","위탁","24526.47","21363","0","75428","59131191170","59131191170","1478279779","2340609650","56790581520","40","1921184965","1921184965","0"
"34","2020","서울","1112000","서울중구","체육시설","체육관","충무아트홀 스포츠센터","2005.02.04","위탁","12520.32","9172.6","40","306382","18932620690","14149320406","727685348","10889915522","17525088798","40","4233474248","479142912","-3754331336"
"35","2020","서울","1113000","서울용산구","문화시설","문화예술회관","용산아트홀","2010.07.01","직영","8519","13497","8","35079","27048000000","27048000000","1487044486","32953299740","175049500056","40","682042000","44011230","-638030770"
"36","2020","서울","1113000","서울용산구","복지시설","종합사회복지관","갈월종합사회복지관","2001.09.01","위탁","6358","1627","26","66785","12592000000","12592000000","255068397","4841507916","7905952144","40","2838210790","2872324526","34113736"
"37","2020","서울","1113000","서울용산구","문화시설","청소년수련회관","용산청소년수련관","2006.06.15","위탁","6497.43","1333.2","32","76791","14000000000","14000000000","288753922","4109066953","10274827087","40","1861364340","211310251","-1650054089"
"38","2020","서울","1113000","서울용산구","체육시설","체육관","용산구문화체육센터","2005.10.10","위탁","5919.42","1272.9","25","36000","14853000000","14853000000","368978691","5443037861","9193719059","40","1492535816","76352540","-1416183276"
"39","2020","서울","1115000","서울광진구","문화시설","공립도서관","자양한강도서관","2019.10.14","위탁","2999.82","18235.5","20","81449","12802000000","12061899790","150774778","188385955","11873513835","80","1077930882","32826602","-1045104280"
"40","2020","서울","1115000","서울광진구","체육시설","체육관","중곡문화체육센터","2008.10.28","위탁","8176","3690","28","11954","20452000000","16499838790","412521239","5052374387","11447464403","40","2417940344","257888218","-2160052126"
"41","2020","서울","1115000","서울광진구","문화시설","공립도서관","광진정보도서관","2000.11.10","위탁","7283.1","3499.8","31","553779","19485000000","10560707229","69980228","1408902073","9151805156","40","2277997967","19416155","-2258581812"
"42","2020","서울","1115000","서울광진구","체육시설","체육관","광진구민체육센터","2006.06.30","위탁","6623","10921","27","147257","27049000000","25420222140","470049362","6819823723","18600398417","40","2825911581","256192398","-2569719183"
"43","2020","서울","1115000","서울광진구","문화시설","문화예술회관","광진문화예술회관","2005.03.01","위탁","18860","5931","29","118540","38273000000","34030450760","315129039","14180805760","19849645000","45","2702037851","680466390","-2021571461"
"44","2020","서울","1116000","서울동대문구","기타시설","기타시설","서울한방진흥센터","2017.08.15","직영","1651.36","2789.5","20","9319","46525000000","46525000000","1163125000","3489375000","43035625000","40","744213000","65991480","-678221520"
"45","2020","서울","1116000","서울동대문구","기타시설","기타시설","용두문화복지센터","2018.06.25","위탁","3629.98","1044.6","8","3302","23131000000","23131000000","578275000","1734825000","21396175000","40","381339105","8276831","-373062274"
"46","2020","서울","1116000","서울동대문구","복지시설","종합사회복지관","동대문종합사회복지관","2000.07.15","위탁","7464","1845","45","446088","12718000000","12718000000","317950000","5088820291","7629179700","40","3855516073","4915047173","1059531100"
"47","2020","서울","1116000","서울동대문구","문화시설","공립도서관","답십리도서관","2014.04.03","위탁","3142.69","883.6","18","135737","11519000000","6888137520","172203438","1191073779","5697063741","40","965471000","40526524","-924944476"
