"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"1","2018","서울","1100000","서울본청","문화시설","문화예술회관","블루스퀘어","2011.08.24","BTO","30250.17","10826","76","662000","78465740000","78465740000","1449827158","7355160565","71110579435","40","0","1405218140","1405218140"
"2","2018","서울","1100000","서울본청","문화시설","청소년수련회관","목동청소년수련관","1988.10.21","위탁","6203","5743","34","795309","32209347000","32209347000","61264988","1284749362","30924597638","40","3714060925","3809043139","94982214"
"3","2018","서울","1100000","서울본청","체육시설","축구장","서울월드컵경기장","2001.12.27","위탁","166515.44","216712","91","447299","206000000000","83642480000","2405035160","28527090914","55115389086","40","15262564000","19199400000","3936836000"
"4","2018","서울","1100000","서울본청","문화시설","미술관","서울시립미술관","2002.01.31","직영","13433","25420","98","636287","27804000000","27804000000","798167501","9246605601","18557394399","40","1430569040","383332000","-1047237040"
"5","2018","서울","1100000","서울본청","체육시설","육상경기장","잠실올림픽주경기장","1984.09.29","직영","75469","111792","30","602923","36736270000","36736270000","1327453235","29214035001","7522234999","40","12911267000","11411102000","-1500165000"
"6","2018","서울","1100000","서울본청","문화시설","공립도서관","서울도서관","2012.10.26","직영","9499","12709","52","996107","64100000000","64100000000","1602500000","9615000000","54485000000","40","3158262510","9647540","-3148614970"
"7","2018","서울","1100000","서울본청","체육시설","야구장","잠실야구장","1982.07.15","위탁","26331","45312","40","2327975","21646050000","21646050000","866269788","18614105742","3031944258","40","3207206000","14599578000","11392372000"
"8","2018","서울","1100000","서울본청","기타시설","기타시설","서울에너지드림센터","2012.12.10","위탁","3762","13039","12","92074","20306207390","20092113390","502302834","4060281241","16031832149","40","1262210000","21081000","-1241129000"
"9","2018","서울","1100000","서울본청","문화시설","박물관","한성백제박물관","2011.12.31","직영","19423","14894","137","700160","79530541228","79530541228","775337305","3750956150","75779585078","40","13211740580","243191540","-12968549040"
"10","2018","서울","1100000","서울본청","문화시설","문화예술회관","세종문화회관","1978.04.14","위탁","13081.68","55758.8","452","2120845","28533430000","28533430000","825030467","10520264789","18013165211","40","43726000000","46839000000","3113000000"
"11","2018","서울","1100000","서울본청","문화시설","청소년수련회관","은평청소년수련관","2003.10.25","위탁","4963.16","13500","41","749063","23130000000","23130000000","266757196","2735529620","20394470380","40","3597401872","3891212930","293811058"
"12","2018","서울","1100000","서울본청","문화시설","박물관","서울역사박물관","1998.02.03","직영","20883","99728","259","1778000","34410549830","34410549830","340875731","14270475352","20140074478","80","14434257980","817558010","-13616699970"
"13","2018","서울","1100000","서울본청","문화시설","미술관","시립북서울미술관","2013.05.31","직영","17113","23751","46","581387","41944887000","41944887000","838897740","4194488700","37750398300","40","940134850","132415000","-807719850"
