행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
울산광역시  (3100000000),40.2,40.9,41.6,42.3,43
울산광역시 중구 (3111000000),41.6,42.5,43.4,44.1,44.9
울산광역시 남구 (3114000000),40.5,41.2,41.8,42.4,43
울산광역시 동구 (3117000000),39.6,40.5,41.3,42,42.7
울산광역시 북구 (3120000000),37.2,37.6,38.2,39,39.7
울산광역시 울주군 (3171000000),41.5,42.2,43,43.8,44.5
