행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
제주특별자치도  (5000000000),41.3,41.9,42.4,42.9,43.4
제주특별자치도 제주시 (5011000000),40.4,40.9,41.4,41.9,42.5
제주특별자치도 서귀포시 (5013000000),43.8,44.4,44.9,45.3,45.8
