행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
세종특별자치시  (3600000000),36.7,36.9,37.3,37.7,38.1
세종특별자치시  (3611000000),36.7,36.9,37.3,37.7,38.1
