행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
대전광역시  (3000000000),40.7,41.3,41.9,42.4,42.9
대전광역시 동구 (3011000000),43.3,44,44.6,45.1,45.6
대전광역시 중구 (3014000000),43.4,44.1,44.9,45.5,46
대전광역시 서구 (3017000000),39.8,40.3,40.9,41.4,41.9
대전광역시 유성구 (3020000000),37.5,38.1,38.6,39.2,39.6
대전광역시 대덕구 (3023000000),42.2,43.1,43.8,44.5,45.2
