"행정구역","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"서울특별시  (1100000000)","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"서울특별시 종로구 (1111000000)","144,683","73,494","          1.97","70,183","74,500","          0.94"
"서울특별시 중구 (1114000000)","122,499","63,519","          1.93","59,630","62,869","          0.95"
"서울특별시 용산구 (1117000000)","222,953","111,036","          2.01","107,210","115,743","          0.93"
"서울특별시 성동구 (1120000000)","285,990","134,233","          2.13","139,380","146,610","          0.95"
"서울특별시 광진구 (1121500000)","339,996","167,949","          2.02","164,058","175,938","          0.93"
"서울특별시 동대문구 (1123000000)","337,400","168,219","          2.01","166,646","170,754","          0.98"
"서울특별시 중랑구 (1126000000)","387,350","185,712","          2.09","191,112","196,238","          0.97"
"서울특별시 성북구 (1129000000)","430,528","195,017","          2.21","207,578","222,950","          0.93"
"서울특별시 강북구 (1130500000)","299,182","144,536","          2.07","145,705","153,477","          0.95"
"서울특별시 도봉구 (1132000000)","317,366","138,656","          2.29","154,487","162,879","          0.95"
"서울특별시 노원구 (1135000000)","510,956","217,378","          2.35","246,053","264,903","          0.93"
"서울특별시 은평구 (1138000000)","473,307","214,711","          2.20","226,458","246,849","          0.92"
"서울특별시 서대문구 (1141000000)","304,819","143,647","          2.12","145,694","159,125","          0.92"
"서울특별시 마포구 (1144000000)","368,905","179,861","          2.05","173,504","195,401","          0.89"
"서울특별시 양천구 (1147000000)","447,302","181,404","          2.47","219,214","228,088","          0.96"
"서울특별시 강서구 (1150000000)","574,315","271,175","          2.12","276,292","298,023","          0.93"
"서울특별시 구로구 (1153000000)","396,754","180,929","          2.19","195,537","201,217","          0.97"
"서울특별시 금천구 (1154500000)","230,811","117,595","          1.96","116,527","114,284","          1.02"
"서울특별시 영등포구 (1156000000)","376,837","187,020","          2.01","185,926","190,911","          0.97"
"서울특별시 동작구 (1159000000)","385,483","184,812","          2.09","186,426","199,057","          0.94"
"서울특별시 관악구 (1162000000)","485,699","276,597","          1.76","243,991","241,708","          1.01"
