"행정구역","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율"
"서울특별시  (1100000000)","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96"
"서울특별시 종로구 (1111000000)","153,065","73,735","          2.08","74,825","78,240","          0.96"
"서울특별시 중구 (1114000000)","125,725","61,502","          2.04","61,947","63,778","          0.97"
"서울특별시 용산구 (1117000000)","228,999","108,974","          2.10","110,640","118,359","          0.93"
"서울특별시 성동구 (1120000000)","308,221","137,209","          2.25","151,359","156,862","          0.96"
"서울특별시 광진구 (1121500000)","355,559","162,606","          2.19","172,794","182,765","          0.95"
"서울특별시 동대문구 (1123000000)","348,052","161,820","          2.15","173,567","174,485","          0.99"
"서울특별시 중랑구 (1126000000)","403,209","180,511","          2.23","200,419","202,790","          0.99"
"서울특별시 성북구 (1129000000)","435,868","186,601","          2.34","211,904","223,964","          0.95"
"서울특별시 강북구 (1130500000)","319,164","143,395","          2.23","156,071","163,093","          0.96"
"서울특별시 도봉구 (1132000000)","339,413","138,087","          2.46","166,160","173,253","          0.96"
"서울특별시 노원구 (1135000000)","543,752","217,655","          2.50","263,919","279,833","          0.94"
"서울특별시 은평구 (1138000000)","483,197","205,001","          2.36","233,702","249,495","          0.94"
"서울특별시 서대문구 (1141000000)","310,313","138,549","          2.24","149,569","160,744","          0.93"
"서울특별시 마포구 (1144000000)","375,077","172,505","          2.17","178,240","196,837","          0.91"
"서울특별시 양천구 (1147000000)","464,185","176,498","          2.63","228,634","235,551","          0.97"
"서울특별시 강서구 (1150000000)","596,949","258,503","          2.31","290,079","306,870","          0.95"
"서울특별시 구로구 (1153000000)","404,497","172,457","          2.35","200,417","204,080","          0.98"
"서울특별시 금천구 (1154500000)","233,917","107,971","          2.17","118,915","115,002","          1.03"
"서울특별시 영등포구 (1156000000)","367,778","171,085","          2.15","183,224","184,554","          0.99"
"서울특별시 동작구 (1159000000)","396,203","177,176","          2.24","192,533","203,670","          0.95"
