시도,시군구,행정번호,년도,우울증환자수,평균연령,총인구수,스트레스인지율,고용률,코로나확진자수,1인당 정신건강예산(원),공공시설개수,우울증지수
광주광역시,광주남구,2915500000,2018,3088,42,216369,26.1,59.4,0,7995,53,1.427191511
광주광역시,광주북구,2917000000,2018,6789,40.9,439773,22.5,59.4,0,7995,216,1.543750981
광주광역시,광주광산구,2920000000,2018,5867,37,404547,28.6,59.4,0,7995,366,1.450264123
대전광역시,대전동구,3011000000,2018,3117,43.3,229071,24,58.7,0,6716,53,1.360713491
대전광역시,대전중구,3014000000,2018,7810,43.4,244421,26.6,58.7,0,6716,53,3.195306459
대전광역시,대전서구,3017000000,2018,10943,39.8,484663,30.2,58.7,0,6716,115,2.257857522
대전광역시,대전유성구,3020000000,2018,3552,37.5,349790,26.7,58.7,0,6716,161,1.015466423
대전광역시,대전대덕구,3023000000,2018,2683,42.2,181991,29.9,58.7,0,6716,84,1.474248727
울산광역시,울산중구,3111000000,2018,2588,41.6,231973,39.8,59,0,3836,116,1.11564708
울산광역시,울산남구,3114000000,2018,8872,40.5,330732,23,59,0,3836,118,2.682534499
울산광역시,울산동구,3117000000,2018,1542,39.6,164642,18.9,59,0,3836,66,0.936577544
울산광역시,울산북구,3120000000,2018,533,37.2,206434,21.8,59,0,3836,55,0.258193902
울산광역시,울산울주군,3171000000,2018,971,41.5,221842,21.5,59,0,3836,107,0.437698903
세종특별자치시,세종시,3611000000,2018,4062,36.7,314126,30.1,61.8,0,3513,73,1.293111681
경기도,경기수원장안구,4111100000,2018,3402,40.4,286433,27.7,59.75,0,4376,60,1.18771231
경기도,경기수원권선구,4111300000,2018,2114,39.1,377647,27.7,59.75,0,4376,147,0.559782019
경기도,경기수원팔달구,4111500000,2018,9645,42.2,180974,27.7,59.75,0,4376,45,5.329494845
경기도,경기수원영통구,4111700000,2018,5113,36,356112,27.7,59.75,0,4376,93,1.435784248
경기도,경기성남수정구,4113100000,2018,3803,42.7,234133,29.4,58.35,0,4376,28,1.624290467
경기도,경기성남중원구,4113300000,2018,2849,42.6,224885,29.4,58.35,0,4376,46,1.266869733
경기도,경기성남분당구,4113500000,2018,20184,39.7,495329,29.4,58.35,0,4376,147,4.074867411
경기도,경기의정부시,4115000000,2018,10055,41.7,447026,27.8,55.8,0,4376,113,2.249309884
경기도,경기안양만안구,4117100000,2018,3617,42.4,251512,27.2,58.35,0,4376,55,1.438102357
경기도,경기안양동안구,4117300000,2018,8645,39.9,325319,27.2,58.35,0,4376,85,2.657391668
경기도,경기부천시,4119000000,2018,13981,41.2,843768,30.3,58.95,0,4376,196,1.656972059
경기도,경기광명시,4121000000,2018,3662,40.8,326841,30.5,58.35,0,4376,88,1.120422468
경기도,경기평택시,4122000000,2018,5911,40,495642,28.9,60.35,0,4376,538,1.192594655
경기도,경기동두천시,4125000000,2018,1610,44.1,96226,27,54.85,0,4376,43,1.673144472
경기도,경기안산상록구,4127100000,2018,2899,40.1,356311,30.8,60.1,0,4376,108,0.813615072
경기도,경기안산단원구,4127300000,2018,7393,39.8,304032,30.8,60.1,0,4376,91,2.431651931
경기도,경기고양덕양구,4128100000,2018,3760,41.6,450449,30.5,56.75,0,4376,123,0.834722688
경기도,경기고양일산동구,4128500000,2018,8003,40.7,296223,30.5,56.75,0,4376,78,2.701680828
경기도,경기고양일산서구,4128700000,2018,6853,40.2,297517,30.5,56.75,0,4376,63,2.303397789
경기도,경기과천시,4129000000,2018,67,41.5,58142,29,52.1,0,4376,23,0.115235114
경기도,경기구리시,4131000000,2018,3631,40.8,203553,26.5,58.9,0,4376,68,1.783810605
경기도,경기남양주시,4136000000,2018,5697,40.5,681828,31.2,54.3,0,4376,181,0.835547968
경기도,경기오산시,4137000000,2018,2779,37.1,220070,31,62.75,0,4376,112,1.262780025
경기도,경기시흥시,4139000000,2018,3766,38.6,448687,23.6,61.35,0,4376,144,0.83933789
경기도,경기군포시,4141000000,2018,3542,40.5,276916,32.6,58.05,0,4376,128,1.279088243
경기도,경기의왕시,4143000000,2018,843,41.5,153932,30.4,58.45,0,4376,81,0.547644414
경기도,경기하남시,4145000000,2018,1495,40.1,254415,29.1,60.4,0,4376,48,0.587622585
경기도,경기용인처인구,4146100000,2018,2290,41,249118,26.5,56.2,0,4376,40,0.91924309
경기도,경기용인기흥구,4146300000,2018,4460,38.7,427719,26.5,56.2,0,4376,152,1.042740678
경기도,경기용인수지구,4146500000,2018,3658,39,358289,26.5,56.2,0,4376,95,1.020963524
경기도,경기파주시,4148000000,2018,2934,40,451848,31.6,60.5,0,4376,162,0.649333404
경기도,경기이천시,4150000000,2018,4088,40.5,214206,28.5,65.35,0,4376,38,1.908443274
경기도,경기안성시,4155000000,2018,929,42.6,183579,27.9,64.75,0,4376,57,0.506049167
경기도,경기김포시,4157000000,2018,2392,39,423170,29.5,58.6,0,4376,191,0.565257462
경기도,경기화성시,4159000000,2018,3651,36.6,758722,26.4,64.45,0,4376,612,0.481203919
경기도,경기광주시,4161000000,2018,3419,40.5,363782,19.5,63,0,4376,56,0.939848591
경기도,경기양주시,4163000000,2018,828,41.6,216951,18.4,56.15,0,4376,101,0.381653
경기도,경기포천시,4165000000,2018,541,45,150676,31.1,64.1,0,4376,47,0.359048555
경기도,경기여주시,4167000000,2018,1783,45.3,111525,32.4,59.35,0,4376,23,1.598744676
경기도,경기연천군,4180000000,2018,377,47,44633,17.2,61.2,0,4376,18,0.844666502
경기도,경기가평군,4182000000,2018,501,48.1,62918,25.5,59.95,0,4376,15,0.796274516
경기도,경기양평군,4183000000,2018,764,47.5,116095,29.6,59.4,0,4376,37,0.658081743
강원도,강원춘천시,4211000000,2018,5074,42.8,280640,26.5,57.85,0,7147,277,1.808010262
강원도,강원원주시,4213000000,2018,8382,41.6,344070,30.4,59.95,0,7147,193,2.436132182
강원도,강원강릉시,4215000000,2018,4360,45.1,212957,25.7,58.2,0,7147,163,2.047361674
강원도,강원동해시,4217000000,2018,1337,44.1,91272,22.4,60.3,0,7147,11,1.46485231
강원도,강원태백시,4219000000,2018,240,46.6,44858,26.5,58.8,0,7147,45,0.535021624
강원도,강원속초시,4221000000,2018,1459,44.3,81682,19.3,60.2,0,7147,92,1.786195245
강원도,강원삼척시,4223000000,2018,1059,46.7,68326,28.7,56.5,0,7147,49,1.549922431
강원도,강원홍천군,4272000000,2018,1385,48.2,69949,29,63.95,0,7147,49,1.98001401
강원도,강원횡성군,4273000000,2018,101,50.1,46726,28.1,66.45,0,7147,64,0.216153747
강원도,강원영월군,4275000000,2018,258,50.1,39730,27.5,66.1,0,7147,42,0.649383338
강원도,강원평창군,4276000000,2018,161,49.7,42610,26.2,66.4,0,7147,50,0.377845576
강원도,강원정선군,4277000000,2018,19,49.6,37700,25.3,66.75,0,7147,65,0.050397878
강원도,강원철원군,4278000000,2018,17,44.7,46413,23.4,64.25,0,7147,45,0.036627669
강원도,강원화천군,4279000000,2018,33,44.5,25084,27.1,68.1,0,7147,32,0.131557965
강원도,강원양구군,4280000000,2018,30,43.3,23408,29.4,65.4,0,7147,10,0.128161312
강원도,강원인제군,4281000000,2018,23,44.4,32136,28.2,68.8,0,7147,32,0.071570824
강원도,강원고성군,4282000000,2018,0,49.4,28144,31.3,65.7,0,7147,59,0
강원도,강원양양군,4283000000,2018,25,50.4,27347,23.8,63.95,0,7147,18,0.091417706
충청북도,충북청주상당구,4311100000,2018,6365,41.9,176818,28.5,60.3,0,6051,93,3.599746632
충청북도,충북청주서원구,4311200000,2018,3901,40.8,209404,28.5,60.3,0,6051,90,1.862906153
충청북도,충북청주흥덕구,4311300000,2018,3233,39,254302,28.5,60.3,0,6051,155,1.271323073
충청북도,충북청주청원구,4311400000,2018,2943,38.7,197225,28.5,60.3,0,6051,105,1.492204335
충청북도,충북충주시,4313000000,2018,3117,44.4,210504,28.9,61.05,0,6051,119,1.480731958
충청북도,충북제천시,4315000000,2018,3390,45.3,135386,24.5,60.1,0,6051,68,2.503951664
충청북도,충북보은군,4372000000,2018,365,52.2,33680,24.7,65.15,0,6051,8,1.083729216
충청북도,충북옥천군,4373000000,2018,494,49.7,51465,19.7,63.5,0,6051,10,0.959875644
충청북도,충북영동군,4374000000,2018,759,50.2,49715,17.1,61.45,0,6051,6,1.526702203
충청북도,충북증평군,4374500000,2018,286,41.9,37317,27.1,63.85,0,6051,27,0.766406732
충청북도,충북진천군,4375000000,2018,1228,42.3,78218,26.7,69.65,0,6051,37,1.569971106
충청북도,충북괴산군,4376000000,2018,386,52.9,39133,20.5,64.8,0,6051,21,0.986379782
충청북도,충북음성군,4377000000,2018,628,45.5,95830,25.8,67.75,0,6051,43,0.655327142
충청북도,충북단양군,4380000000,2018,22,51,30255,26.4,65.15,0,6051,26,0.072715254
충청남도,충남천안동남구,4413100000,2018,6482,40.9,257978,28.6,63,0,5909,152,2.512617355
충청남도,충남천안서북구,4413300000,2018,6102,36.8,388097,28.6,63,0,5909,203,1.572287341
충청남도,충남공주시,4415000000,2018,2932,47.6,107581,25.6,65.45,0,5909,62,2.725388312
충청남도,충남보령시,4418000000,2018,1210,47.2,101990,26.4,64.25,0,5909,95,1.186390823
충청남도,충남아산시,4420000000,2018,4360,39.1,312822,25.5,62.25,0,5909,121,1.393763866
충청남도,충남서산시,4421000000,2018,1061,42.6,174162,26.1,65.6,0,5909,197,0.609202926
충청남도,충남논산시,4423000000,2018,4023,47.5,120230,26,64.35,0,5909,116,3.346086667
충청남도,충남계룡시,4425000000,2018,0,38.4,43731,24.8,54.85,0,5909,49,0
충청남도,충남당진시,4427000000,2018,2716,42.5,167770,28.7,69.95,0,5909,269,1.618882995
충청남도,충남금산군,4471000000,2018,1021,50.1,53222,29.9,64.8,0,5909,22,1.918379617
충청남도,충남부여군,4476000000,2018,968,51.7,68078,22.4,64.85,0,5909,29,1.421898411
충청남도,충남서천군,4477000000,2018,1300,52.6,53922,22,67.4,0,5909,35,2.410889804
충청남도,충남청양군,4479000000,2018,124,52.2,32296,24.2,74.65,0,5909,29,0.383948477
충청남도,충남홍성군,4480000000,2018,2464,45.4,101082,28.5,63.1,0,5909,149,2.437624899
충청남도,충남예산군,4481000000,2018,261,50.4,80083,28.2,66.3,0,5909,115,0.325911866
충청남도,충남태안군,4482500000,2018,467,50.1,63238,22.2,71.9,0,5909,22,0.738480028
전라북도,전북전주완산구,4511100000,2018,7221,41.3,345065,32.5,54.9,0,7554,141,2.092649211
전라북도,전북전주덕진구,4511300000,2018,6666,39.9,306026,32.5,54.9,0,7554,111,2.178246293
전라북도,전북군산시,4513000000,2018,3050,42.9,272645,27.6,53.1,0,7554,154,1.118670799
전라북도,전북익산시,4514000000,2018,3559,43.4,294062,29.1,54.1,0,7554,109,1.210288987
전라북도,전북정읍시,4518000000,2018,1047,47.8,112169,24,59.35,0,7554,15,0.933412975
전라북도,전북남원시,4519000000,2018,2121,47.9,82554,19.4,63.95,0,7554,16,2.569227415
전라북도,전북김제시,4521000000,2018,1442,50.2,85331,33.8,60.2,0,7554,1,1.689889958
전라북도,전북완주군,4571000000,2018,590,45,94444,20.2,60.1,0,7554,66,0.624708822
전라북도,전북진안군,4572000000,2018,133,52,25963,18.9,70.8,0,7554,6,0.512267458
전라북도,전북무주군,4573000000,2018,18,51.4,24589,27.9,71.1,0,7554,11,0.073203465
전라북도,전북장수군,4574000000,2018,64,50.9,23221,13.2,75.75,0,7554,6,0.275612592
전라북도,전북임실군,4575000000,2018,17,51.6,30072,19.2,67.85,0,7554,12,0.056530992
전라북도,전북순창군,4577000000,2018,266,50.8,29209,15.4,65.95,0,7554,2,0.910678216
전라북도,전북고창군,4579000000,2018,700,51.2,57041,27.8,66.45,0,7554,19,1.227187462
전라북도,전북부안군,4580000000,2018,895,50.9,54441,26.6,69.3,0,7554,36,1.643981558
전라남도,전남목포시,4611000000,2018,4919,41.4,232327,32.7,55.1,0,4306,100,2.117274359
전라남도,전남여수시,4613000000,2018,2890,43.4,283300,25,60.8,0,4306,161,1.020120014
전라남도,전남순천시,4615000000,2018,3076,41.4,279389,25.3,59.85,0,4306,164,1.100973911
전라남도,전남나주시,4617000000,2018,1045,45,113839,24,65.3,0,4306,99,0.917963088
전라남도,전남광양시,4623000000,2018,772,40.1,156564,23,63.45,0,4306,159,0.493089088
전라남도,전남담양군,4671000000,2018,243,50.5,46917,27.6,65.7,0,4306,126,0.517935929
