,city,neighborhood,citynum,year,age,population,stress,employment,covid,budget,public facilities,depression,patient
0,서울특별시,서울종로구,1111000000,2018,-0.07594936708860689,-0.09077646390591476,1.5535714285714286,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.1411764705882353,5.762659311640933,2.358468219502566
1,서울특별시,서울중구,1114000000,2018,-0.025316455696201997,-0.19713978373310354,0.5,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.16470588235294117,1.4197090147720073,0.28878799842084485
2,서울특별시,서울용산구,1117000000,2018,-0.15189873417721467,0.20463656929663657,-0.9821428571428569,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.03529411764705882,-0.2713960232133414,-0.10244769048559021
3,서울특별시,서울성동구,1120000000,2018,-0.35443037974683517,0.5128412117015213,1.0357142857142856,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.07058823529411765,-0.1657815495912308,0.1515988945913936
4,서울특별시,서울광진구,1121500000,2018,-0.43037974683544294,0.697004592607866,0.696428571428571,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.10588235294117647,0.3631024155553421,0.7951046190288196
5,서울특별시,서울동대문구,1123000000,2018,-0.18987341772151903,0.6677994191644605,0.44642857142857134,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.07058823529411765,0.6856824470107703,1.0842874062376628
6,서울특별시,서울중랑구,1126000000,2018,-0.16455696202531614,0.8823817758472787,1.3035714285714277,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.058823529411764705,-0.00435210250617152,0.5584287406237662
7,서울특별시,서울성북구,1129000000,2018,-0.29113924050632883,1.0094380912180234,0.7142857142857141,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.058823529411764705,-0.07680525112326075,0.5604026845637584
8,서울특별시,서울강북구,1130500000,2018,-0.01265822784810055,0.555413772377049,0.9821428571428569,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.011764705882352941,-0.3371539605979821,0.022305566521910777
9,서울특별시,서울도봉구,1132000000,2018,-0.11392405063291124,0.6341903218715899,0.6071428571428568,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.18823529411764706,-0.4156831430960616,-0.015594157125937624
10,서울특별시,서울노원구,1135000000,2018,-0.3670886075949366,1.4291491517972639,0.10714285714285737,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,1.4823529411764707,0.15469313851203995,1.1968022108172127
11,서울특별시,서울은평구,1138000000,2018,-0.21518987341772103,1.1935664585955295,-0.4642857142857144,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.6470588235294118,-0.10795549580690679,0.6405448085274378
12,서울특별시,서울서대문구,1141000000,2018,-0.22784810126582247,0.5209799119604269,0.053571428571428686,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.011764705882352941,0.726074347002104,0.9403868930122384
13,서울특별시,서울마포구,1144000000,2018,-0.45569620253164494,0.7729372654823017,-1.5892857142857135,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.38823529411764707,1.0915092580772394,1.6439005132254243
14,서울특별시,서울양천구,1147000000,2018,-0.48101265822784783,1.1196023241202364,0.6785714285714285,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.49411764705882355,-0.18702448623888468,0.4889459139360442
15,서울특별시,서울강서구,1150000000,2018,-0.43037974683544294,1.6361063399774747,1.3750000000000002,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,1.1058823529411765,-0.2664995208488166,0.6575207264113699
16,서울특별시,서울구로구,1153000000,2018,-0.29113924050632883,0.887392600863278,-0.17857142857142852,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.047058823529411764,0.4761188128457634,1.1125148045795499
17,서울특별시,서울금천구,1154500000,2018,-0.17721518987341758,0.2237695176108324,0.9285714285714282,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.023529411764705882,-0.07532814283118783,0.03750493485984998
18,서울특별시,서울영등포구,1156000000,2018,-0.29113924050632883,0.7445412935942749,0.41071428571428575,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.023529411764705882,0.31313223086716485,0.7899723647848401
19,서울특별시,서울동작구,1159000000,2018,-0.3417721518987337,0.85512568884255,1.8928571428571426,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,-0.011764705882352941,0.5914719282193825,1.20746150809317
20,서울특별시,서울관악구,1162000000,2018,-0.3924050632911386,1.2665502142633445,-0.03571428571428558,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.27058823529411763,0.07876080811587079,0.9530201342281879
21,서울특별시,서울서초구,1165000000,2018,-0.5569620253164557,1.001980209575422,1.5357142857142856,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.9764705882352941,1.453865457683926,2.4368337939202527
22,서울특별시,서울강남구,1168000000,2018,-0.5443037974683542,1.423749287571948,1.2499999999999998,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.9058823529411765,1.7920788008301278,3.7076589024871693
23,서울특별시,서울송파구,1171000000,2018,-0.5189873417721512,1.9072122033819179,-1.678571428571428,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,1.0470588235294118,0.36491794777374964,1.9930911962100277
24,서울특별시,서울강동구,1174000000,2018,-0.3417721518987337,0.9771672888052022,-0.2499999999999997,-0.14915254237288156,-0.02709458914603661,-0.32013081395348836,0.2235294117647059,1.4290747593637494,2.3626135017765497
