년도,시도,시군구,환자수
2018,충북,보은군,365
2018,충북,영동군,759
2018,충북,옥천군,494
2018,충북,음성군,628
2018,충북,제천시,3390
2018,충북,증평군,286
2018,충북,진천군,1228
2018,충북,청주상당구,6365
2018,충북,청주서원구,3901
2018,충북,청주청원구,2943
2018,충북,청주흥덕구,3233
2018,충북,충주시,3117
2019,강원,강릉시,4853
2019,강원,고성군,0
2019,강원,동해시,1263
2019,강원,삼척시,1225
2019,강원,속초시,1507
2019,강원,양구군,10
2019,강원,양양군,77
2019,강원,영월군,216
2019,강원,원주시,8999
2019,강원,인제군,46
2019,강원,정선군,10
2019,강원,철원군,26
2019,강원,춘천시,5389
2019,강원,태백시,255
2019,강원,평창군,149
2019,강원,홍천군,1409
2019,강원,화천군,0
2019,강원,횡성군,136
2019,경기,가평군,508
2019,경기,고양덕양구,3650
2019,경기,고양일산동구,8613
2019,경기,고양일산서구,7042
2019,경기,과천시,77
2019,경기,광명시,4158
2019,경기,광주시,3525
2019,경기,구리시,3870
2019,경기,군포시,4574
2019,경기,김포시,2586
2019,경기,남양주시,6523
2019,경기,동두천시,2025
2019,경기,부천시,14529
2019,경기,성남분당구,19919
2019,경기,성남수정구,3964
2019,경기,성남중원구,2886
2019,경기,수원권선구,2478
2019,경기,수원영통구,4910
2019,경기,수원장안구,3896
2019,경기,수원팔달구,9329
2019,경기,시흥시,4674
2019,경기,안산단원구,8083
2019,경기,안산상록구,2950
2019,경기,안성시,1079
2019,경기,안양동안구,8629
2019,경기,안양만안구,3795
2019,경기,양주시,1267
2019,경기,양평군,795
2019,경기,여주시,1960
2019,경기,연천군,405
2019,경기,오산시,3150
2019,경기,용인기흥구,5231
2019,경기,용인수지구,3861
2019,경기,용인처인구,2313
2019,경기,의왕시,826
2019,경기,의정부시,10245
2019,경기,이천시,4218
2019,경기,파주시,3799
2019,경기,평택시,6231
2019,경기,포천시,797
2019,경기,하남시,2532
2019,경기,화성시,6027
2019,경남,거제시,3074
2019,경남,거창군,875
2019,경남,고성군,238
2019,경남,김해시,4933
2019,경남,남해군,131
2019,경남,밀양시,552
2019,경남,사천시,708
2019,경남,산청군,32
2019,경남,양산시,4176
2019,경남,의령군,105
2019,경남,진주시,6972
2019,경남,창녕군,445
2019,경남,창원마산합포구,3258
2019,경남,창원마산회원구,2843
2019,경남,창원성산구,4125
2019,경남,창원의창구,1879
2019,경남,창원진해구,1297
2019,경남,통영시,1468
2019,경남,하동군,284
2019,경남,함안군,261
2019,경남,함양군,349
2019,경남,합천군,217
2019,경북,경산시,3462
2019,경북,경주시,4586
2019,경북,고령군,0
2019,경북,구미시,6244
2019,경북,군위군,68
2019,경북,김천시,3445
2019,경북,문경시,2508
2019,경북,봉화군,113
2019,경북,상주시,875
2019,경북,성주군,101
2019,경북,안동시,2688
2019,경북,영덕군,211
2019,경북,영양군,0
2019,경북,영주시,1436
2019,경북,영천시,1546
2019,경북,예천군,191
2019,경북,울릉군,0
2019,경북,울진군,213
2019,경북,의성군,200
2019,경북,청도군,317
2019,경북,청송군,146
2019,경북,칠곡군,510
2019,경북,포항남구,3040
2019,경북,포항북구,4983
2019,광주,광주광산구,6134
2019,광주,광주남구,3211
2019,광주,광주동구,3707
2019,광주,광주북구,7073
2019,광주,광주서구,4423
2019,대구,대구남구,3314
2019,대구,대구달서구,12551
2019,대구,대구달성군,1556
2019,대구,대구동구,6297
2019,대구,대구북구,5858
2019,대구,대구서구,2830
2019,대구,대구수성구,10580
2019,대구,대구중구,4554
2019,대전,대전대덕구,2916
2019,대전,대전동구,3251
2019,대전,대전서구,11690
2019,대전,대전유성구,3926
2019,대전,대전중구,7983
2019,부산,부산강서구,460
2019,부산,부산금정구,3155
2019,부산,부산기장군,2616
2019,부산,부산남구,3271
2019,부산,부산동구,5125
2019,부산,부산동래구,6219
2019,부산,부산북구,3972
2019,부산,부산사상구,3312
2019,부산,부산사하구,4650
2019,부산,부산서구,2559
2019,부산,부산수영구,8775
2019,부산,부산연제구,4122
2019,부산,부산영도구,2120
2019,부산,부산중구,2281
2019,부산,부산진구,11645
2019,부산,부산해운대구,7122
2019,서울,강남구,22900
2019,서울,강동구,13047
2019,서울,강북구,3386
2019,서울,강서구,7714
2019,서울,관악구,8661
2019,서울,광진구,7759
2019,서울,구로구,9225
2019,서울,금천구,4392
2019,서울,노원구,8713
2019,서울,도봉구,3084
2019,서울,동대문구,8093
2019,서울,동작구,9438
2019,서울,마포구,12929
2019,서울,서대문구,8040
2019,서울,서초구,17279
2019,서울,성동구,4062
2019,서울,성북구,6355
2019,서울,송파구,14372
2019,서울,양천구,5099
2019,서울,영등포구,7037
2019,서울,용산구,2682
2019,서울,은평구,7136
2019,서울,종로구,13895
2019,서울,중구,5044
2019,서울,중랑구,6625
2019,세종,세종시,5395
2019,울산,울산남구,9043
2019,울산,울산동구,692
2019,울산,울산북구,465
2019,울산,울산울주군,999
2019,울산,울산중구,3061
2019,인천,인천강화군,285
2019,인천,인천계양구,4859
2019,인천,인천남동구,8712
2019,인천,인천동구,721
2019,인천,인천미추홀구,5925
2019,인천,인천부평구,11768
2019,인천,인천서구,8477
2019,인천,인천연수구,4207
2019,인천,인천옹진군,0
2019,인천,인천중구,4534
2019,전남,강진군,202
2019,전남,고흥군,1808
2019,전남,곡성군,88
2019,전남,광양시,985
2019,전남,구례군,50
2019,전남,나주시,915
2019,전남,담양군,323
2019,전남,목포시,5074
2019,전남,무안군,636
2019,전남,보성군,293
2019,전남,순천시,3176
2019,전남,신안군,28
2019,전남,여수시,2788
2019,전남,영광군,692
2019,전남,영암군,146
2019,전남,완도군,41
2019,전남,장성군,247
2019,전남,장흥군,192
2019,전남,진도군,49
2019,전남,함평군,64
2019,전남,해남군,1568
2019,전남,화순군,536
2019,전북,고창군,725
2019,전북,군산시,2846
2019,전북,김제시,1349
2019,전북,남원시,2102
2019,전북,무주군,12
2019,전북,부안군,852
2019,전북,순창군,283
2019,전북,완주군,612
2019,전북,익산시,3896
2019,전북,임실군,11
2019,전북,장수군,39
2019,전북,전주덕진구,6319
2019,전북,전주완산구,7937
2019,전북,정읍시,1115
2019,전북,진안군,149
2019,제주,서귀포시,2231
2019,제주,제주시,9884
2019,충남,계룡시,0
2019,충남,공주시,2978
2019,충남,금산군,1113
2019,충남,논산시,3756
2019,충남,당진시,3088
2019,충남,보령시,1233
2019,충남,부여군,1209
2019,충남,서산시,1263
2019,충남,서천군,1180
2019,충남,아산시,4361
2019,충남,예산군,507
2019,충남,천안동남구,5130
2019,충남,천안서북구,6574
2019,충남,청양군,263
2019,충남,태안군,521
2019,충남,홍성군,2476
2019,충북,괴산군,440
2019,충북,단양군,38
2019,충북,보은군,362
2019,충북,영동군,828
2019,충북,옥천군,461
2019,충북,음성군,813
2019,충북,제천시,3620
2019,충북,증평군,329
2019,충북,진천군,1067
2019,충북,청주상당구,6647
2019,충북,청주서원구,4103
2019,충북,청주청원구,3027
2019,충북,청주흥덕구,4217
2019,충북,충주시,3573
2020,강원,강릉시,5179
2020,강원,고성군,11
2020,강원,동해시,1636
2020,강원,삼척시,1269
2020,강원,속초시,1853
