시도,시군구,행정번호,년도,우울증환자수,코로나확진자수,1인당 정신건강예산(원),공공시설개수
경기도,경기이천시,4150000000,2018,4088,0,4376,38
경기도,경기안성시,4155000000,2018,929,0,4376,57
경기도,경기김포시,4157000000,2018,2392,0,4376,191
경기도,경기화성시,4159000000,2018,3651,0,4376,612
경기도,경기광주시,4161000000,2018,3419,0,4376,56
경기도,경기양주시,4163000000,2018,828,0,4376,101
경기도,경기포천시,4165000000,2018,541,0,4376,47
경기도,경기여주시,4167000000,2018,1783,0,4376,23
경기도,경기연천군,4180000000,2018,377,0,4376,18
경기도,경기가평군,4182000000,2018,501,0,4376,15
경기도,경기양평군,4183000000,2018,764,0,4376,37
강원도,강원춘천시,4211000000,2018,5074,0,7147,277
강원도,강원원주시,4213000000,2018,8382,0,7147,193
강원도,강원강릉시,4215000000,2018,4360,0,7147,163
강원도,강원동해시,4217000000,2018,1337,0,7147,11
강원도,강원태백시,4219000000,2018,240,0,7147,45
강원도,강원속초시,4221000000,2018,1459,0,7147,92
강원도,강원삼척시,4223000000,2018,1059,0,7147,49
강원도,강원홍천군,4272000000,2018,1385,0,7147,49
강원도,강원횡성군,4273000000,2018,101,0,7147,64
강원도,강원영월군,4275000000,2018,258,0,7147,42
강원도,강원평창군,4276000000,2018,161,0,7147,50
강원도,강원정선군,4277000000,2018,19,0,7147,65
강원도,강원철원군,4278000000,2018,17,0,7147,45
강원도,강원화천군,4279000000,2018,33,0,7147,32
강원도,강원양구군,4280000000,2018,30,0,7147,10
강원도,강원인제군,4281000000,2018,23,0,7147,32
강원도,강원고성군,4282000000,2018,0,0,7147,59
강원도,강원양양군,4283000000,2018,25,0,7147,18
충청북도,충북청주상당구,4311100000,2018,6365,0,6051,93
충청북도,충북청주서원구,4311200000,2018,3901,0,6051,90
충청북도,충북청주흥덕구,4311300000,2018,3233,0,6051,155
충청북도,충북청주청원구,4311400000,2018,2943,0,6051,105
충청북도,충북충주시,4313000000,2018,3117,0,6051,119
충청북도,충북제천시,4315000000,2018,3390,0,6051,68
충청북도,충북보은군,4372000000,2018,365,0,6051,8
충청북도,충북옥천군,4373000000,2018,494,0,6051,10
충청북도,충북영동군,4374000000,2018,759,0,6051,6
충청북도,충북증평군,4374500000,2018,286,0,6051,27
충청북도,충북진천군,4375000000,2018,1228,0,6051,37
충청북도,충북괴산군,4376000000,2018,386,0,6051,21
충청북도,충북음성군,4377000000,2018,628,0,6051,43
충청북도,충북단양군,4380000000,2018,22,0,6051,26
충청남도,충남천안동남구,4413100000,2018,6482,0,5909,152
충청남도,충남천안서북구,4413300000,2018,6102,0,5909,203
충청남도,충남공주시,4415000000,2018,2932,0,5909,62
충청남도,충남보령시,4418000000,2018,1210,0,5909,95
충청남도,충남아산시,4420000000,2018,4360,0,5909,121
충청남도,충남서산시,4421000000,2018,1061,0,5909,197
충청남도,충남논산시,4423000000,2018,4023,0,5909,116
충청남도,충남계룡시,4425000000,2018,0,0,5909,49
충청남도,충남당진시,4427000000,2018,2716,0,5909,269
충청남도,충남금산군,4471000000,2018,1021,0,5909,22
충청남도,충남부여군,4476000000,2018,968,0,5909,29
충청남도,충남서천군,4477000000,2018,1300,0,5909,35
충청남도,충남청양군,4479000000,2018,124,0,5909,29
충청남도,충남홍성군,4480000000,2018,2464,0,5909,149
충청남도,충남예산군,4481000000,2018,261,0,5909,115
충청남도,충남태안군,4482500000,2018,467,0,5909,22
전라북도,전북전주완산구,4511100000,2018,7221,0,7554,141
전라북도,전북전주덕진구,4511300000,2018,6666,0,7554,111
전라북도,전북군산시,4513000000,2018,3050,0,7554,154
전라북도,전북익산시,4514000000,2018,3559,0,7554,109
전라북도,전북정읍시,4518000000,2018,1047,0,7554,15
전라북도,전북남원시,4519000000,2018,2121,0,7554,16
전라북도,전북김제시,4521000000,2018,1442,0,7554,1
전라북도,전북완주군,4571000000,2018,590,0,7554,66
전라북도,전북진안군,4572000000,2018,133,0,7554,6
전라북도,전북무주군,4573000000,2018,18,0,7554,11
전라북도,전북장수군,4574000000,2018,64,0,7554,6
전라북도,전북임실군,4575000000,2018,17,0,7554,12
전라북도,전북순창군,4577000000,2018,266,0,7554,2
전라북도,전북고창군,4579000000,2018,700,0,7554,19
전라북도,전북부안군,4580000000,2018,895,0,7554,36
전라남도,전남목포시,4611000000,2018,4919,0,4306,100
전라남도,전남여수시,4613000000,2018,2890,0,4306,161
전라남도,전남순천시,4615000000,2018,3076,0,4306,164
전라남도,전남나주시,4617000000,2018,1045,0,4306,99
전라남도,전남광양시,4623000000,2018,772,0,4306,159
